Student_ID,Grade_Level,Section,Historical_Attendance_Rate,Historical_Total_Absences,Historical_Absence_Frequency,Frequently_Absent_Days_Count,Lowest_Subject_Attendance_Rate,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Predicted_Risk,Recommendation,Recommendation_Basis,Recommendation_Priority
ENHS_SYN_0097,Grade 7,Section B,0.905,19,0.095,15,0.85,0.9,0.91,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0136,Grade 7,Section C,0.905,19,0.095,17,0.85,0.93,0.88,-0.05,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0141,Grade 7,Section C,0.905,19,0.095,15,0.825,0.9,0.91,0.01,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0002,Grade 7,Section A,0.91,18,0.09,13,0.875,0.93,0.89,-0.04,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0113,Grade 7,Section C,0.91,18,0.09,16,0.85,0.91,0.91,0.0,Moderate Risk,Monitor attendance more closely,Decision Tree absenteeism risk classification,Medium
ENHS_SYN_0430,Grade 9,Section C,0.91,18,0.09,14,0.825,0.93,0.89,-0.04,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0346,Grade 9,Section A,0.915,17,0.085,15,0.825,0.92,0.91,-0.01,Moderate Risk,Monitor attendance more closely; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Medium
ENHS_SYN_0457,Grade 10,Section A,0.91,18,0.09,14,0.875,0.9,0.92,0.02,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0104,Grade 7,Section C,0.92,16,0.08,14,0.875,0.91,0.93,0.02,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0134,Grade 7,Section C,0.92,16,0.08,14,0.85,0.93,0.91,-0.02,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0157,Grade 8,Section A,0.92,16,0.08,12,0.9,0.91,0.93,0.02,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0166,Grade 8,Section A,0.92,16,0.08,14,0.8,0.94,0.9,-0.04,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0015,Grade 7,Section A,0.925,15,0.075,13,0.875,0.93,0.92,-0.01,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0116,Grade 7,Section C,0.925,15,0.075,12,0.875,0.95,0.9,-0.05,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0336,Grade 9,Section A,0.925,15,0.075,13,0.875,0.9,0.95,0.05,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0018,Grade 7,Section A,0.93,14,0.07,13,0.9,0.95,0.91,-0.04,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0031,Grade 7,Section A,0.93,14,0.07,11,0.9,0.95,0.91,-0.04,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0076,Grade 7,Section B,0.93,14,0.07,12,0.9,0.91,0.95,0.04,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0243,Grade 8,Section B,0.93,14,0.07,12,0.875,0.94,0.92,-0.02,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0253,Grade 8,Section C,0.93,14,0.07,11,0.875,0.93,0.93,0.0,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0317,Grade 9,Section A,0.93,14,0.07,13,0.825,0.92,0.94,0.02,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0382,Grade 9,Section B,0.93,14,0.07,14,0.85,0.92,0.94,0.02,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0500,Grade 10,Section A,0.93,14,0.07,13,0.85,0.94,0.92,-0.02,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0515,Grade 10,Section B,0.93,14,0.07,13,0.875,0.92,0.94,0.02,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0008,Grade 7,Section A,0.935,13,0.065,10,0.9,0.95,0.92,-0.03,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0250,Grade 8,Section B,0.935,13,0.065,12,0.85,0.93,0.94,0.01,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0290,Grade 8,Section C,0.935,13,0.065,10,0.9,0.96,0.91,-0.05,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0379,Grade 9,Section B,0.935,13,0.065,13,0.9,0.93,0.94,0.01,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0549,Grade 10,Section B,0.935,13,0.065,13,0.9,0.89,0.98,0.09,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0199,Grade 8,Section A,0.94,12,0.06,10,0.85,0.91,0.97,0.06,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0597,Grade 10,Section C,0.94,12,0.06,10,0.85,0.96,0.92,-0.04,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0374,Grade 9,Section B,0.945,11,0.055,11,0.9,0.96,0.93,-0.03,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0375,Grade 9,Section B,0.945,11,0.055,8,0.875,0.96,0.93,-0.03,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0030,Grade 7,Section A,0.95,10,0.05,7,0.925,0.96,0.94,-0.02,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0121,Grade 7,Section C,0.95,10,0.05,8,0.9,0.93,0.97,0.04,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0287,Grade 8,Section C,0.95,10,0.05,10,0.925,0.96,0.94,-0.02,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0387,Grade 9,Section B,0.95,10,0.05,8,0.9,0.95,0.95,0.0,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0583,Grade 10,Section C,0.96,8,0.04,7,0.925,0.96,0.96,0.0,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0071,Grade 7,Section B,0.965,7,0.035,7,0.95,0.98,0.95,-0.03,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0295,Grade 8,Section C,0.965,7,0.035,7,0.925,0.97,0.96,-0.01,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0335,Grade 9,Section A,0.965,7,0.035,7,0.925,0.98,0.95,-0.03,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0361,Grade 9,Section B,0.97,6,0.03,6,0.925,0.97,0.97,0.0,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0388,Grade 9,Section B,0.97,6,0.03,6,0.925,0.97,0.97,0.0,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
ENHS_SYN_0280,Grade 8,Section C,0.975,5,0.025,5,0.925,0.98,0.97,-0.01,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0529,Grade 10,Section B,0.98,4,0.02,4,0.95,0.99,0.97,-0.02,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0355,Grade 9,Section B,0.985,3,0.015,3,0.925,0.99,0.98,-0.01,Low Risk,Continue regular monitoring; Consider early intervention due to declining attendance trend,Decision Tree absenteeism risk classification; Declining historical attendance trend,Routine
ENHS_SYN_0124,Grade 7,Section C,0.99,2,0.01,2,0.975,0.99,0.99,0.0,Low Risk,Continue regular monitoring,Decision Tree absenteeism risk classification,Routine
