Absence_Rank,Student_ID,Grade_Level,Section,Total_Sessions,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days
30,ENHS_SYN_0126,Grade 7,Section C,300,79,0.7367,0.2633,50
31,ENHS_SYN_0501,Grade 10,Section B,298,79,0.7349,0.2651,48
32,ENHS_SYN_0230,Grade 8,Section B,300,78,0.74,0.26,46
33,ENHS_SYN_0585,Grade 10,Section C,298,78,0.7383,0.2617,49
34,ENHS_SYN_0189,Grade 8,Section A,300,77,0.7433,0.2567,46
35,ENHS_SYN_0238,Grade 8,Section B,300,76,0.7467,0.2533,46
36,ENHS_SYN_0069,Grade 7,Section B,297,76,0.7441,0.2559,44
37,ENHS_SYN_0094,Grade 7,Section B,300,76,0.7467,0.2533,46
38,ENHS_SYN_0048,Grade 7,Section A,300,76,0.7467,0.2533,46
39,ENHS_SYN_0357,Grade 9,Section B,300,75,0.75,0.25,48
40,ENHS_SYN_0451,Grade 10,Section A,297,75,0.7475,0.2525,43
41,ENHS_SYN_0504,Grade 10,Section B,300,75,0.75,0.25,43
42,ENHS_SYN_0300,Grade 8,Section C,300,75,0.75,0.25,43
43,ENHS_SYN_0009,Grade 7,Section A,300,75,0.75,0.25,43
44,ENHS_SYN_0168,Grade 8,Section A,298,75,0.7483,0.2517,46
45,ENHS_SYN_0044,Grade 7,Section A,300,74,0.7533,0.2467,46
46,ENHS_SYN_0466,Grade 10,Section A,300,74,0.7533,0.2467,43
47,ENHS_SYN_0219,Grade 8,Section B,300,74,0.7533,0.2467,46
48,ENHS_SYN_0331,Grade 9,Section A,298,74,0.7517,0.2483,51
49,ENHS_SYN_0101,Grade 7,Section C,300,74,0.7533,0.2467,44
50,ENHS_SYN_0381,Grade 9,Section B,300,74,0.7533,0.2467,49
51,ENHS_SYN_0173,Grade 8,Section A,300,73,0.7567,0.2433,42
52,ENHS_SYN_0431,Grade 9,Section C,300,73,0.7567,0.2433,43
53,ENHS_SYN_0003,Grade 7,Section A,299,73,0.7559,0.2441,43
54,ENHS_SYN_0401,Grade 9,Section C,299,73,0.7559,0.2441,44
55,ENHS_SYN_0306,Grade 9,Section A,299,73,0.7559,0.2441,42
56,ENHS_SYN_0542,Grade 10,Section B,299,72,0.7592,0.2408,44
57,ENHS_SYN_0341,Grade 9,Section A,299,72,0.7592,0.2408,46
58,ENHS_SYN_0118,Grade 7,Section C,300,72,0.76,0.24,45
59,ENHS_SYN_0511,Grade 10,Section B,300,71,0.7633,0.2367,45
60,ENHS_SYN_0426,Grade 9,Section C,299,71,0.7625,0.2375,47
61,ENHS_SYN_0005,Grade 7,Section A,300,71,0.7633,0.2367,42
62,ENHS_SYN_0026,Grade 7,Section A,299,70,0.7659,0.2341,46
63,ENHS_SYN_0562,Grade 10,Section C,300,70,0.7667,0.2333,43
64,ENHS_SYN_0041,Grade 7,Section A,300,70,0.7667,0.2333,45
65,ENHS_SYN_0539,Grade 10,Section B,299,70,0.7659,0.2341,43
66,ENHS_SYN_0564,Grade 10,Section C,300,70,0.7667,0.2333,43
67,ENHS_SYN_0217,Grade 8,Section B,300,70,0.7667,0.2333,44
68,ENHS_SYN_0182,Grade 8,Section A,300,70,0.7667,0.2333,46
69,ENHS_SYN_0376,Grade 9,Section B,300,70,0.7667,0.2333,46
70,ENHS_SYN_0459,Grade 10,Section A,300,70,0.7667,0.2333,38
71,ENHS_SYN_0372,Grade 9,Section B,299,70,0.7659,0.2341,41
72,ENHS_SYN_0255,Grade 8,Section C,300,70,0.7667,0.2333,44
73,ENHS_SYN_0239,Grade 8,Section B,299,70,0.7659,0.2341,48
74,ENHS_SYN_0006,Grade 7,Section A,299,69,0.7692,0.2308,46
75,ENHS_SYN_0234,Grade 8,Section B,298,69,0.7685,0.2315,46
76,ENHS_SYN_0435,Grade 9,Section C,297,69,0.7677,0.2323,40
77,ENHS_SYN_0172,Grade 8,Section A,300,69,0.77,0.23,47
78,ENHS_SYN_0428,Grade 9,Section C,299,69,0.7692,0.2308,44
79,ENHS_SYN_0033,Grade 7,Section A,300,68,0.7733,0.2267,41
80,ENHS_SYN_0050,Grade 7,Section A,299,68,0.7726,0.2274,41
81,ENHS_SYN_0476,Grade 10,Section A,300,68,0.7733,0.2267,43
82,ENHS_SYN_0257,Grade 8,Section C,300,68,0.7733,0.2267,41
83,ENHS_SYN_0344,Grade 9,Section A,300,68,0.7733,0.2267,45
84,ENHS_SYN_0212,Grade 8,Section B,300,68,0.7733,0.2267,41
85,ENHS_SYN_0128,Grade 7,Section C,300,68,0.7733,0.2267,43
86,ENHS_SYN_0111,Grade 7,Section C,300,67,0.7767,0.2233,40
87,ENHS_SYN_0330,Grade 9,Section A,299,67,0.7759,0.2241,43
88,ENHS_SYN_0190,Grade 8,Section A,300,67,0.7767,0.2233,44
89,ENHS_SYN_0421,Grade 9,Section C,300,67,0.7767,0.2233,43
90,ENHS_SYN_0517,Grade 10,Section B,300,67,0.7767,0.2233,44
91,ENHS_SYN_0261,Grade 8,Section C,300,67,0.7767,0.2233,47
92,ENHS_SYN_0490,Grade 10,Section A,299,66,0.7793,0.2207,42
93,ENHS_SYN_0481,Grade 10,Section A,299,66,0.7793,0.2207,41
94,ENHS_SYN_0516,Grade 10,Section B,298,66,0.7785,0.2215,38
95,ENHS_SYN_0593,Grade 10,Section C,300,66,0.78,0.22,45
96,ENHS_SYN_0319,Grade 9,Section A,300,66,0.78,0.22,40
97,ENHS_SYN_0294,Grade 8,Section C,300,66,0.78,0.22,43
98,ENHS_SYN_0110,Grade 7,Section C,300,65,0.7833,0.2167,44
99,ENHS_SYN_0369,Grade 9,Section B,300,64,0.7867,0.2133,42
100,ENHS_SYN_0227,Grade 8,Section B,300,64,0.7867,0.2133,42
101,ENHS_SYN_0468,Grade 10,Section A,297,64,0.7845,0.2155,39
102,ENHS_SYN_0074,Grade 7,Section B,300,64,0.7867,0.2133,40
103,ENHS_SYN_0533,Grade 10,Section B,300,64,0.7867,0.2133,42
104,ENHS_SYN_0574,Grade 10,Section C,298,63,0.7886,0.2114,39
105,ENHS_SYN_0356,Grade 9,Section B,299,63,0.7893,0.2107,44
106,ENHS_SYN_0384,Grade 9,Section B,300,63,0.79,0.21,41
107,ENHS_SYN_0185,Grade 8,Section A,299,63,0.7893,0.2107,44
108,ENHS_SYN_0248,Grade 8,Section B,300,62,0.7933,0.2067,41
109,ENHS_SYN_0461,Grade 10,Section A,298,62,0.7919,0.2081,40
110,ENHS_SYN_0165,Grade 8,Section A,300,62,0.7933,0.2067,38
111,ENHS_SYN_0038,Grade 7,Section A,299,62,0.7926,0.2074,42
112,ENHS_SYN_0443,Grade 9,Section C,298,62,0.7919,0.2081,39
113,ENHS_SYN_0329,Grade 9,Section A,296,62,0.7905,0.2095,42
114,ENHS_SYN_0019,Grade 7,Section A,298,61,0.7953,0.2047,44
115,ENHS_SYN_0224,Grade 8,Section B,298,61,0.7953,0.2047,41
116,ENHS_SYN_0265,Grade 8,Section C,300,61,0.7967,0.2033,41
117,ENHS_SYN_0260,Grade 8,Section C,300,61,0.7967,0.2033,36
118,ENHS_SYN_0464,Grade 10,Section A,300,60,0.8,0.2,40
119,ENHS_SYN_0131,Grade 7,Section C,299,60,0.7993,0.2007,41
120,ENHS_SYN_0007,Grade 7,Section A,299,60,0.7993,0.2007,40
121,ENHS_SYN_0488,Grade 10,Section A,300,60,0.8,0.2,43
122,ENHS_SYN_0362,Grade 9,Section B,300,60,0.8,0.2,41
123,ENHS_SYN_0561,Grade 10,Section C,300,59,0.8033,0.1967,40
124,ENHS_SYN_0537,Grade 10,Section B,300,59,0.8033,0.1967,40
125,ENHS_SYN_0550,Grade 10,Section B,300,59,0.8033,0.1967,37
126,ENHS_SYN_0175,Grade 8,Section A,300,59,0.8033,0.1967,37
127,ENHS_SYN_0332,Grade 9,Section A,300,59,0.8033,0.1967,39
128,ENHS_SYN_0395,Grade 9,Section B,300,59,0.8033,0.1967,41
129,ENHS_SYN_0482,Grade 10,Section A,300,59,0.8033,0.1967,40
130,ENHS_SYN_0274,Grade 8,Section C,300,59,0.8033,0.1967,40
131,ENHS_SYN_0371,Grade 9,Section B,300,58,0.8067,0.1933,41
132,ENHS_SYN_0310,Grade 9,Section A,300,58,0.8067,0.1933,39
133,ENHS_SYN_0590,Grade 10,Section C,299,58,0.806,0.194,42
134,ENHS_SYN_0512,Grade 10,Section B,299,58,0.806,0.194,36
135,ENHS_SYN_0503,Grade 10,Section B,300,58,0.8067,0.1933,39
136,ENHS_SYN_0060,Grade 7,Section B,300,58,0.8067,0.1933,36
137,ENHS_SYN_0432,Grade 9,Section C,297,58,0.8047,0.1953,38
138,ENHS_SYN_0022,Grade 7,Section A,299,58,0.806,0.194,43
139,ENHS_SYN_0473,Grade 10,Section A,300,57,0.81,0.19,39
140,ENHS_SYN_0027,Grade 7,Section A,300,57,0.81,0.19,40
141,ENHS_SYN_0023,Grade 7,Section A,300,57,0.81,0.19,33
142,ENHS_SYN_0288,Grade 8,Section C,300,57,0.81,0.19,42
143,ENHS_SYN_0580,Grade 10,Section C,300,57,0.81,0.19,40
144,ENHS_SYN_0363,Grade 9,Section B,300,57,0.81,0.19,33
145,ENHS_SYN_0152,Grade 8,Section A,300,57,0.81,0.19,40
146,ENHS_SYN_0085,Grade 7,Section B,300,57,0.81,0.19,37
147,ENHS_SYN_0142,Grade 7,Section C,299,56,0.8127,0.1873,38
148,ENHS_SYN_0012,Grade 7,Section A,299,56,0.8127,0.1873,41
149,ENHS_SYN_0589,Grade 10,Section C,300,56,0.8133,0.1867,41
150,ENHS_SYN_0148,Grade 7,Section C,300,56,0.8133,0.1867,38
151,ENHS_SYN_0103,Grade 7,Section C,299,56,0.8127,0.1873,39
152,ENHS_SYN_0378,Grade 9,Section B,299,56,0.8127,0.1873,38
153,ENHS_SYN_0035,Grade 7,Section A,299,56,0.8127,0.1873,38
154,ENHS_SYN_0053,Grade 7,Section B,300,56,0.8133,0.1867,39
155,ENHS_SYN_0275,Grade 8,Section C,300,56,0.8133,0.1867,37
156,ENHS_SYN_0416,Grade 9,Section C,300,56,0.8133,0.1867,37
157,ENHS_SYN_0195,Grade 8,Section A,299,55,0.8161,0.1839,35
158,ENHS_SYN_0028,Grade 7,Section A,299,55,0.8161,0.1839,33
159,ENHS_SYN_0577,Grade 10,Section C,300,55,0.8167,0.1833,37
160,ENHS_SYN_0544,Grade 10,Section B,300,55,0.8167,0.1833,39
161,ENHS_SYN_0530,Grade 10,Section B,299,55,0.8161,0.1839,41
162,ENHS_SYN_0471,Grade 10,Section A,300,55,0.8167,0.1833,41
163,ENHS_SYN_0144,Grade 7,Section C,299,55,0.8161,0.1839,39
164,ENHS_SYN_0437,Grade 9,Section C,300,55,0.8167,0.1833,37
165,ENHS_SYN_0448,Grade 9,Section C,299,55,0.8161,0.1839,39
166,ENHS_SYN_0534,Grade 10,Section B,300,54,0.82,0.18,42
167,ENHS_SYN_0520,Grade 10,Section B,300,53,0.8233,0.1767,43
168,ENHS_SYN_0496,Grade 10,Section A,299,53,0.8227,0.1773,40
169,ENHS_SYN_0067,Grade 7,Section B,299,53,0.8227,0.1773,35
170,ENHS_SYN_0348,Grade 9,Section A,300,53,0.8233,0.1767,36
171,ENHS_SYN_0155,Grade 8,Section A,300,53,0.8233,0.1767,36
172,ENHS_SYN_0302,Grade 9,Section A,298,53,0.8221,0.1779,41
173,ENHS_SYN_0312,Grade 9,Section A,300,53,0.8233,0.1767,33
174,ENHS_SYN_0154,Grade 8,Section A,300,53,0.8233,0.1767,34
175,ENHS_SYN_0222,Grade 8,Section B,299,53,0.8227,0.1773,37
176,ENHS_SYN_0198,Grade 8,Section A,300,53,0.8233,0.1767,38
177,ENHS_SYN_0582,Grade 10,Section C,300,53,0.8233,0.1767,38
178,ENHS_SYN_0186,Grade 8,Section A,300,52,0.8267,0.1733,39
179,ENHS_SYN_0049,Grade 7,Section A,300,52,0.8267,0.1733,37
180,ENHS_SYN_0043,Grade 7,Section A,300,52,0.8267,0.1733,34
181,ENHS_SYN_0441,Grade 9,Section C,299,52,0.8261,0.1739,36
182,ENHS_SYN_0206,Grade 8,Section B,299,52,0.8261,0.1739,36
183,ENHS_SYN_0070,Grade 7,Section B,300,52,0.8267,0.1733,38
184,ENHS_SYN_0100,Grade 7,Section B,299,52,0.8261,0.1739,36
185,ENHS_SYN_0370,Grade 9,Section B,299,52,0.8261,0.1739,36
186,ENHS_SYN_0402,Grade 9,Section C,300,52,0.8267,0.1733,38
187,ENHS_SYN_0258,Grade 8,Section C,300,52,0.8267,0.1733,37
188,ENHS_SYN_0571,Grade 10,Section C,300,52,0.8267,0.1733,40
189,ENHS_SYN_0160,Grade 8,Section A,300,51,0.83,0.17,36
190,ENHS_SYN_0102,Grade 7,Section C,300,51,0.83,0.17,38
191,ENHS_SYN_0096,Grade 7,Section B,297,51,0.8283,0.1717,36
192,ENHS_SYN_0169,Grade 8,Section A,299,51,0.8294,0.1706,37
193,ENHS_SYN_0592,Grade 10,Section C,300,51,0.83,0.17,35
194,ENHS_SYN_0497,Grade 10,Section A,300,51,0.83,0.17,35
195,ENHS_SYN_0292,Grade 8,Section C,300,51,0.83,0.17,37
196,ENHS_SYN_0588,Grade 10,Section C,300,51,0.83,0.17,39
197,ENHS_SYN_0347,Grade 9,Section A,300,51,0.83,0.17,38
198,ENHS_SYN_0105,Grade 7,Section C,298,50,0.8322,0.1678,35
199,ENHS_SYN_0313,Grade 9,Section A,299,50,0.8328,0.1672,35
200,ENHS_SYN_0396,Grade 9,Section B,300,50,0.8333,0.1667,38
201,ENHS_SYN_0269,Grade 8,Section C,299,50,0.8328,0.1672,36
202,ENHS_SYN_0132,Grade 7,Section C,300,50,0.8333,0.1667,39
203,ENHS_SYN_0305,Grade 9,Section A,300,50,0.8333,0.1667,36
204,ENHS_SYN_0439,Grade 9,Section C,300,49,0.8367,0.1633,34
205,ENHS_SYN_0045,Grade 7,Section A,300,49,0.8367,0.1633,36
206,ENHS_SYN_0498,Grade 10,Section A,299,49,0.8361,0.1639,35
207,ENHS_SYN_0268,Grade 8,Section C,300,49,0.8367,0.1633,34
208,ENHS_SYN_0380,Grade 9,Section B,300,48,0.84,0.16,33
209,ENHS_SYN_0207,Grade 8,Section B,298,48,0.8389,0.1611,32
210,ENHS_SYN_0523,Grade 10,Section B,300,48,0.84,0.16,36
211,ENHS_SYN_0391,Grade 9,Section B,300,47,0.8433,0.1567,39
212,ENHS_SYN_0438,Grade 9,Section C,300,47,0.8433,0.1567,35
213,ENHS_SYN_0123,Grade 7,Section C,298,47,0.8423,0.1577,38
214,ENHS_SYN_0098,Grade 7,Section B,300,47,0.8433,0.1567,35
215,ENHS_SYN_0510,Grade 10,Section B,300,47,0.8433,0.1567,34
216,ENHS_SYN_0527,Grade 10,Section B,300,47,0.8433,0.1567,35
217,ENHS_SYN_0177,Grade 8,Section A,300,46,0.8467,0.1533,37
218,ENHS_SYN_0442,Grade 9,Section C,300,46,0.8467,0.1533,29
219,ENHS_SYN_0352,Grade 9,Section B,299,46,0.8462,0.1538,33
220,ENHS_SYN_0004,Grade 7,Section A,299,46,0.8462,0.1538,32
221,ENHS_SYN_0242,Grade 8,Section B,299,46,0.8462,0.1538,33
222,ENHS_SYN_0519,Grade 10,Section B,300,45,0.85,0.15,33
223,ENHS_SYN_0220,Grade 8,Section B,300,45,0.85,0.15,31
224,ENHS_SYN_0446,Grade 9,Section C,300,45,0.85,0.15,31
225,ENHS_SYN_0508,Grade 10,Section B,300,45,0.85,0.15,32
226,ENHS_SYN_0213,Grade 8,Section B,299,45,0.8495,0.1505,34
227,ENHS_SYN_0524,Grade 10,Section B,300,45,0.85,0.15,35
228,ENHS_SYN_0586,Grade 10,Section C,300,45,0.85,0.15,34
229,ENHS_SYN_0560,Grade 10,Section C,299,45,0.8495,0.1505,35
230,ENHS_SYN_0263,Grade 8,Section C,300,44,0.8533,0.1467,34
231,ENHS_SYN_0526,Grade 10,Section B,299,44,0.8528,0.1472,34
232,ENHS_SYN_0551,Grade 10,Section C,300,44,0.8533,0.1467,35
233,ENHS_SYN_0465,Grade 10,Section A,299,44,0.8528,0.1472,36
234,ENHS_SYN_0077,Grade 7,Section B,300,44,0.8533,0.1467,31
235,ENHS_SYN_0285,Grade 8,Section C,299,44,0.8528,0.1472,37
236,ENHS_SYN_0323,Grade 9,Section A,300,44,0.8533,0.1467,32
237,ENHS_SYN_0256,Grade 8,Section C,300,44,0.8533,0.1467,33
238,ENHS_SYN_0339,Grade 9,Section A,300,44,0.8533,0.1467,34
239,ENHS_SYN_0413,Grade 9,Section C,300,44,0.8533,0.1467,33
240,ENHS_SYN_0151,Grade 8,Section A,299,44,0.8528,0.1472,34
241,ENHS_SYN_0385,Grade 9,Section B,300,44,0.8533,0.1467,30
242,ENHS_SYN_0235,Grade 8,Section B,300,44,0.8533,0.1467,33
243,ENHS_SYN_0032,Grade 7,Section A,300,43,0.8567,0.1433,37
244,ENHS_SYN_0231,Grade 8,Section B,299,43,0.8562,0.1438,34
245,ENHS_SYN_0528,Grade 10,Section B,300,43,0.8567,0.1433,34
246,ENHS_SYN_0350,Grade 9,Section A,299,43,0.8562,0.1438,33
247,ENHS_SYN_0099,Grade 7,Section B,299,43,0.8562,0.1438,33
248,ENHS_SYN_0143,Grade 7,Section C,298,43,0.8557,0.1443,32
249,ENHS_SYN_0535,Grade 10,Section B,300,42,0.86,0.14,29
250,ENHS_SYN_0180,Grade 8,Section A,298,42,0.8591,0.1409,29
251,ENHS_SYN_0423,Grade 9,Section C,300,42,0.86,0.14,37
252,ENHS_SYN_0418,Grade 9,Section C,300,42,0.86,0.14,33
253,ENHS_SYN_0531,Grade 10,Section B,300,42,0.86,0.14,33
254,ENHS_SYN_0179,Grade 8,Section A,299,41,0.8629,0.1371,30
255,ENHS_SYN_0068,Grade 7,Section B,299,41,0.8629,0.1371,28
256,ENHS_SYN_0057,Grade 7,Section B,300,41,0.8633,0.1367,28
257,ENHS_SYN_0492,Grade 10,Section A,299,41,0.8629,0.1371,34
258,ENHS_SYN_0021,Grade 7,Section A,300,41,0.8633,0.1367,32
259,ENHS_SYN_0029,Grade 7,Section A,300,41,0.8633,0.1367,31
260,ENHS_SYN_0001,Grade 7,Section A,300,41,0.8633,0.1367,31
261,ENHS_SYN_0092,Grade 7,Section B,299,41,0.8629,0.1371,31
262,ENHS_SYN_0434,Grade 9,Section C,300,41,0.8633,0.1367,28
263,ENHS_SYN_0082,Grade 7,Section B,299,41,0.8629,0.1371,32
264,ENHS_SYN_0303,Grade 9,Section A,300,41,0.8633,0.1367,32
265,ENHS_SYN_0320,Grade 9,Section A,299,41,0.8629,0.1371,30
266,ENHS_SYN_0147,Grade 7,Section C,300,41,0.8633,0.1367,32
267,ENHS_SYN_0557,Grade 10,Section C,300,40,0.8667,0.1333,27
268,ENHS_SYN_0135,Grade 7,Section C,300,40,0.8667,0.1333,33
269,ENHS_SYN_0284,Grade 8,Section C,300,40,0.8667,0.1333,30
270,ENHS_SYN_0327,Grade 9,Section A,300,40,0.8667,0.1333,30
271,ENHS_SYN_0415,Grade 9,Section C,300,40,0.8667,0.1333,32
272,ENHS_SYN_0158,Grade 8,Section A,299,40,0.8662,0.1338,29
273,ENHS_SYN_0245,Grade 8,Section B,300,40,0.8667,0.1333,32
274,ENHS_SYN_0129,Grade 7,Section C,300,40,0.8667,0.1333,29
275,ENHS_SYN_0575,Grade 10,Section C,300,40,0.8667,0.1333,32
276,ENHS_SYN_0247,Grade 8,Section B,299,39,0.8696,0.1304,30
277,ENHS_SYN_0407,Grade 9,Section C,299,39,0.8696,0.1304,32
278,ENHS_SYN_0600,Grade 10,Section C,300,39,0.87,0.13,31
279,ENHS_SYN_0178,Grade 8,Section A,300,39,0.87,0.13,33
280,ENHS_SYN_0558,Grade 10,Section C,299,38,0.8729,0.1271,27
281,ENHS_SYN_0034,Grade 7,Section A,300,38,0.8733,0.1267,30
282,ENHS_SYN_0505,Grade 10,Section B,300,38,0.8733,0.1267,32
283,ENHS_SYN_0480,Grade 10,Section A,299,38,0.8729,0.1271,28
284,ENHS_SYN_0079,Grade 7,Section B,300,38,0.8733,0.1267,30
285,ENHS_SYN_0200,Grade 8,Section A,300,38,0.8733,0.1267,26
286,ENHS_SYN_0084,Grade 7,Section B,300,38,0.8733,0.1267,29
287,ENHS_SYN_0572,Grade 10,Section C,300,38,0.8733,0.1267,32
288,ENHS_SYN_0293,Grade 8,Section C,299,38,0.8729,0.1271,27
289,ENHS_SYN_0566,Grade 10,Section C,300,38,0.8733,0.1267,31
290,ENHS_SYN_0581,Grade 10,Section C,299,38,0.8729,0.1271,32
291,ENHS_SYN_0089,Grade 7,Section B,300,37,0.8767,0.1233,26
292,ENHS_SYN_0254,Grade 8,Section C,300,37,0.8767,0.1233,30
293,ENHS_SYN_0252,Grade 8,Section C,299,37,0.8763,0.1237,28
294,ENHS_SYN_0436,Grade 9,Section C,300,37,0.8767,0.1233,25
295,ENHS_SYN_0139,Grade 7,Section C,299,37,0.8763,0.1237,30
296,ENHS_SYN_0174,Grade 8,Section A,300,37,0.8767,0.1233,28
297,ENHS_SYN_0518,Grade 10,Section B,300,36,0.88,0.12,29
298,ENHS_SYN_0311,Grade 9,Section A,300,36,0.88,0.12,26
299,ENHS_SYN_0237,Grade 8,Section B,300,36,0.88,0.12,28
300,ENHS_SYN_0507,Grade 10,Section B,300,36,0.88,0.12,31
301,ENHS_SYN_0278,Grade 8,Section C,300,36,0.88,0.12,31
302,ENHS_SYN_0262,Grade 8,Section C,298,36,0.8792,0.1208,28
303,ENHS_SYN_0108,Grade 7,Section C,300,36,0.88,0.12,32
304,ENHS_SYN_0013,Grade 7,Section A,300,36,0.88,0.12,29
305,ENHS_SYN_0229,Grade 8,Section B,299,36,0.8796,0.1204,30
306,ENHS_SYN_0064,Grade 7,Section B,300,36,0.88,0.12,31
307,ENHS_SYN_0433,Grade 9,Section C,300,36,0.88,0.12,28
308,ENHS_SYN_0233,Grade 8,Section B,299,36,0.8796,0.1204,30
309,ENHS_SYN_0411,Grade 9,Section C,300,35,0.8833,0.1167,27
310,ENHS_SYN_0171,Grade 8,Section A,300,35,0.8833,0.1167,30
311,ENHS_SYN_0462,Grade 10,Section A,300,35,0.8833,0.1167,29
312,ENHS_SYN_0225,Grade 8,Section B,300,35,0.8833,0.1167,26
313,ENHS_SYN_0055,Grade 7,Section B,298,35,0.8826,0.1174,32
314,ENHS_SYN_0596,Grade 10,Section C,298,35,0.8826,0.1174,27
315,ENHS_SYN_0193,Grade 8,Section A,300,35,0.8833,0.1167,27
316,ENHS_SYN_0509,Grade 10,Section B,300,35,0.8833,0.1167,29
317,ENHS_SYN_0545,Grade 10,Section B,300,35,0.8833,0.1167,32
318,ENHS_SYN_0025,Grade 7,Section A,299,35,0.8829,0.1171,30
319,ENHS_SYN_0282,Grade 8,Section C,300,34,0.8867,0.1133,29
320,ENHS_SYN_0188,Grade 8,Section A,300,34,0.8867,0.1133,28
321,ENHS_SYN_0594,Grade 10,Section C,300,34,0.8867,0.1133,25
322,ENHS_SYN_0340,Grade 9,Section A,300,34,0.8867,0.1133,28
323,ENHS_SYN_0366,Grade 9,Section B,300,34,0.8867,0.1133,27
324,ENHS_SYN_0389,Grade 9,Section B,299,34,0.8863,0.1137,29
325,ENHS_SYN_0368,Grade 9,Section B,300,34,0.8867,0.1133,28
326,ENHS_SYN_0595,Grade 10,Section C,299,34,0.8863,0.1137,25
327,ENHS_SYN_0279,Grade 8,Section C,300,34,0.8867,0.1133,26
328,ENHS_SYN_0024,Grade 7,Section A,300,34,0.8867,0.1133,29
329,ENHS_SYN_0403,Grade 9,Section C,299,34,0.8863,0.1137,29
330,ENHS_SYN_0051,Grade 7,Section B,300,33,0.89,0.11,29
331,ENHS_SYN_0228,Grade 8,Section B,300,33,0.89,0.11,24
332,ENHS_SYN_0453,Grade 10,Section A,300,33,0.89,0.11,28
333,ENHS_SYN_0333,Grade 9,Section A,300,33,0.89,0.11,28
334,ENHS_SYN_0209,Grade 8,Section B,300,33,0.89,0.11,25
335,ENHS_SYN_0002,Grade 7,Section A,300,33,0.89,0.11,25
336,ENHS_SYN_0304,Grade 9,Section A,300,33,0.89,0.11,25
337,ENHS_SYN_0591,Grade 10,Section C,300,32,0.8933,0.1067,27
338,ENHS_SYN_0449,Grade 9,Section C,300,32,0.8933,0.1067,30
339,ENHS_SYN_0447,Grade 9,Section C,300,32,0.8933,0.1067,22
340,ENHS_SYN_0289,Grade 8,Section C,299,32,0.893,0.107,28
341,ENHS_SYN_0514,Grade 10,Section B,300,32,0.8933,0.1067,28
342,ENHS_SYN_0271,Grade 8,Section C,300,32,0.8933,0.1067,25
343,ENHS_SYN_0349,Grade 9,Section A,299,32,0.893,0.107,27
344,ENHS_SYN_0353,Grade 9,Section B,298,32,0.8926,0.1074,26
345,ENHS_SYN_0196,Grade 8,Section A,300,32,0.8933,0.1067,27
346,ENHS_SYN_0031,Grade 7,Section A,300,32,0.8933,0.1067,24
347,ENHS_SYN_0397,Grade 9,Section B,300,32,0.8933,0.1067,26
348,ENHS_SYN_0502,Grade 10,Section B,300,32,0.8933,0.1067,27
349,ENHS_SYN_0472,Grade 10,Section A,300,32,0.8933,0.1067,28
350,ENHS_SYN_0420,Grade 9,Section C,299,31,0.8963,0.1037,28
