Student_ID,Grade_Level,Section,Week,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Has_Absence
ENHS_SYN_0004,Grade 7,Section A,2026-09-14,25,19,6,0.76,1
ENHS_SYN_0004,Grade 7,Section A,2026-09-21,25,21,4,0.84,1
ENHS_SYN_0004,Grade 7,Section A,2026-09-28,25,21,4,0.84,1
ENHS_SYN_0004,Grade 7,Section A,2026-10-05,25,22,3,0.88,1
ENHS_SYN_0004,Grade 7,Section A,2026-10-12,25,20,5,0.8,1
ENHS_SYN_0004,Grade 7,Section A,2026-10-19,24,21,3,0.875,1
ENHS_SYN_0005,Grade 7,Section A,2026-08-03,25,20,5,0.8,1
ENHS_SYN_0005,Grade 7,Section A,2026-08-10,25,21,4,0.84,1
ENHS_SYN_0005,Grade 7,Section A,2026-08-17,25,22,3,0.88,1
ENHS_SYN_0005,Grade 7,Section A,2026-08-24,25,18,7,0.72,1
ENHS_SYN_0005,Grade 7,Section A,2026-08-31,25,21,4,0.84,1
ENHS_SYN_0005,Grade 7,Section A,2026-09-07,25,19,6,0.76,1
ENHS_SYN_0005,Grade 7,Section A,2026-09-14,25,13,12,0.52,1
ENHS_SYN_0005,Grade 7,Section A,2026-09-21,25,20,5,0.8,1
ENHS_SYN_0005,Grade 7,Section A,2026-09-28,25,20,5,0.8,1
ENHS_SYN_0005,Grade 7,Section A,2026-10-05,25,16,9,0.64,1
ENHS_SYN_0005,Grade 7,Section A,2026-10-12,25,20,5,0.8,1
ENHS_SYN_0005,Grade 7,Section A,2026-10-19,25,19,6,0.76,1
ENHS_SYN_0006,Grade 7,Section A,2026-08-03,25,16,9,0.64,1
ENHS_SYN_0006,Grade 7,Section A,2026-08-10,25,19,6,0.76,1
ENHS_SYN_0006,Grade 7,Section A,2026-08-17,25,19,6,0.76,1
ENHS_SYN_0006,Grade 7,Section A,2026-08-24,25,22,3,0.88,1
ENHS_SYN_0006,Grade 7,Section A,2026-08-31,25,19,6,0.76,1
ENHS_SYN_0006,Grade 7,Section A,2026-09-07,25,21,4,0.84,1
ENHS_SYN_0006,Grade 7,Section A,2026-09-14,25,21,4,0.84,1
ENHS_SYN_0006,Grade 7,Section A,2026-09-21,25,18,7,0.72,1
ENHS_SYN_0006,Grade 7,Section A,2026-09-28,24,19,5,0.7917,1
ENHS_SYN_0006,Grade 7,Section A,2026-10-05,25,17,8,0.68,1
ENHS_SYN_0006,Grade 7,Section A,2026-10-12,25,18,7,0.72,1
ENHS_SYN_0006,Grade 7,Section A,2026-10-19,25,21,4,0.84,1
ENHS_SYN_0007,Grade 7,Section A,2026-08-03,25,24,1,0.96,1
ENHS_SYN_0007,Grade 7,Section A,2026-08-10,25,19,6,0.76,1
ENHS_SYN_0007,Grade 7,Section A,2026-08-17,24,20,4,0.8333,1
ENHS_SYN_0007,Grade 7,Section A,2026-08-24,25,17,8,0.68,1
ENHS_SYN_0007,Grade 7,Section A,2026-08-31,25,19,6,0.76,1
ENHS_SYN_0007,Grade 7,Section A,2026-09-07,25,17,8,0.68,1
ENHS_SYN_0007,Grade 7,Section A,2026-09-14,25,23,2,0.92,1
ENHS_SYN_0007,Grade 7,Section A,2026-09-21,25,19,6,0.76,1
ENHS_SYN_0007,Grade 7,Section A,2026-09-28,25,22,3,0.88,1
ENHS_SYN_0007,Grade 7,Section A,2026-10-05,25,20,5,0.8,1
ENHS_SYN_0007,Grade 7,Section A,2026-10-12,25,21,4,0.84,1
ENHS_SYN_0007,Grade 7,Section A,2026-10-19,25,18,7,0.72,1
ENHS_SYN_0008,Grade 7,Section A,2026-08-03,25,25,0,1.0,0
ENHS_SYN_0008,Grade 7,Section A,2026-08-10,25,23,2,0.92,1
ENHS_SYN_0008,Grade 7,Section A,2026-08-17,25,23,2,0.92,1
ENHS_SYN_0008,Grade 7,Section A,2026-08-24,24,24,0,1.0,0
ENHS_SYN_0008,Grade 7,Section A,2026-08-31,25,25,0,1.0,0
ENHS_SYN_0008,Grade 7,Section A,2026-09-07,25,22,3,0.88,1
ENHS_SYN_0008,Grade 7,Section A,2026-09-14,25,19,6,0.76,1
ENHS_SYN_0008,Grade 7,Section A,2026-09-21,25,25,0,1.0,0
ENHS_SYN_0008,Grade 7,Section A,2026-09-28,25,23,2,0.92,1
ENHS_SYN_0008,Grade 7,Section A,2026-10-05,25,21,4,0.84,1
ENHS_SYN_0008,Grade 7,Section A,2026-10-12,25,23,2,0.92,1
ENHS_SYN_0008,Grade 7,Section A,2026-10-19,25,25,0,1.0,0
ENHS_SYN_0009,Grade 7,Section A,2026-08-03,25,20,5,0.8,1
ENHS_SYN_0009,Grade 7,Section A,2026-08-10,25,21,4,0.84,1
ENHS_SYN_0009,Grade 7,Section A,2026-08-17,25,17,8,0.68,1
ENHS_SYN_0009,Grade 7,Section A,2026-08-24,25,17,8,0.68,1
ENHS_SYN_0009,Grade 7,Section A,2026-08-31,25,19,6,0.76,1
ENHS_SYN_0009,Grade 7,Section A,2026-09-07,25,20,5,0.8,1
ENHS_SYN_0009,Grade 7,Section A,2026-09-14,25,18,7,0.72,1
ENHS_SYN_0009,Grade 7,Section A,2026-09-21,25,18,7,0.72,1
ENHS_SYN_0009,Grade 7,Section A,2026-09-28,25,18,7,0.72,1
ENHS_SYN_0009,Grade 7,Section A,2026-10-05,25,21,4,0.84,1
ENHS_SYN_0009,Grade 7,Section A,2026-10-12,25,17,8,0.68,1
ENHS_SYN_0009,Grade 7,Section A,2026-10-19,25,19,6,0.76,1
ENHS_SYN_0010,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0010,Grade 7,Section A,2026-08-10,25,20,5,0.8,1
ENHS_SYN_0010,Grade 7,Section A,2026-08-17,25,23,2,0.92,1
ENHS_SYN_0010,Grade 7,Section A,2026-08-24,25,22,3,0.88,1
ENHS_SYN_0010,Grade 7,Section A,2026-08-31,25,24,1,0.96,1
ENHS_SYN_0010,Grade 7,Section A,2026-09-07,25,22,3,0.88,1
ENHS_SYN_0010,Grade 7,Section A,2026-09-14,25,25,0,1.0,0
ENHS_SYN_0010,Grade 7,Section A,2026-09-21,25,21,4,0.84,1
ENHS_SYN_0010,Grade 7,Section A,2026-09-28,25,22,3,0.88,1
ENHS_SYN_0010,Grade 7,Section A,2026-10-05,25,23,2,0.92,1
ENHS_SYN_0010,Grade 7,Section A,2026-10-12,24,22,2,0.9167,1
ENHS_SYN_0010,Grade 7,Section A,2026-10-19,25,22,3,0.88,1
ENHS_SYN_0011,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0011,Grade 7,Section A,2026-08-10,25,23,2,0.92,1
ENHS_SYN_0011,Grade 7,Section A,2026-08-17,25,24,1,0.96,1
ENHS_SYN_0011,Grade 7,Section A,2026-08-24,24,21,3,0.875,1
ENHS_SYN_0011,Grade 7,Section A,2026-08-31,25,25,0,1.0,0
ENHS_SYN_0011,Grade 7,Section A,2026-09-07,25,22,3,0.88,1
ENHS_SYN_0011,Grade 7,Section A,2026-09-14,25,22,3,0.88,1
ENHS_SYN_0011,Grade 7,Section A,2026-09-21,25,23,2,0.92,1
ENHS_SYN_0011,Grade 7,Section A,2026-09-28,25,22,3,0.88,1
ENHS_SYN_0011,Grade 7,Section A,2026-10-05,24,23,1,0.9583,1
ENHS_SYN_0011,Grade 7,Section A,2026-10-12,25,25,0,1.0,0
ENHS_SYN_0011,Grade 7,Section A,2026-10-19,25,21,4,0.84,1
ENHS_SYN_0012,Grade 7,Section A,2026-08-03,25,22,3,0.88,1
ENHS_SYN_0012,Grade 7,Section A,2026-08-10,25,20,5,0.8,1
ENHS_SYN_0012,Grade 7,Section A,2026-08-17,25,20,5,0.8,1
ENHS_SYN_0012,Grade 7,Section A,2026-08-24,25,21,4,0.84,1
ENHS_SYN_0012,Grade 7,Section A,2026-08-31,25,21,4,0.84,1
ENHS_SYN_0012,Grade 7,Section A,2026-09-07,25,21,4,0.84,1
ENHS_SYN_0012,Grade 7,Section A,2026-09-14,25,20,5,0.8,1
ENHS_SYN_0012,Grade 7,Section A,2026-09-21,24,18,6,0.75,1
ENHS_SYN_0012,Grade 7,Section A,2026-09-28,25,21,4,0.84,1
ENHS_SYN_0012,Grade 7,Section A,2026-10-05,25,19,6,0.76,1
ENHS_SYN_0012,Grade 7,Section A,2026-10-12,25,22,3,0.88,1
ENHS_SYN_0012,Grade 7,Section A,2026-10-19,25,18,7,0.72,1
ENHS_SYN_0013,Grade 7,Section A,2026-08-03,25,21,4,0.84,1
ENHS_SYN_0013,Grade 7,Section A,2026-08-10,25,24,1,0.96,1
ENHS_SYN_0013,Grade 7,Section A,2026-08-17,25,23,2,0.92,1
ENHS_SYN_0013,Grade 7,Section A,2026-08-24,25,22,3,0.88,1
ENHS_SYN_0013,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0013,Grade 7,Section A,2026-09-07,25,21,4,0.84,1
ENHS_SYN_0013,Grade 7,Section A,2026-09-14,25,20,5,0.8,1
ENHS_SYN_0013,Grade 7,Section A,2026-09-21,25,20,5,0.8,1
ENHS_SYN_0013,Grade 7,Section A,2026-09-28,25,24,1,0.96,1
ENHS_SYN_0013,Grade 7,Section A,2026-10-05,25,21,4,0.84,1
ENHS_SYN_0013,Grade 7,Section A,2026-10-12,25,23,2,0.92,1
ENHS_SYN_0013,Grade 7,Section A,2026-10-19,25,23,2,0.92,1
ENHS_SYN_0014,Grade 7,Section A,2026-08-03,25,18,7,0.72,1
ENHS_SYN_0014,Grade 7,Section A,2026-08-10,25,22,3,0.88,1
ENHS_SYN_0014,Grade 7,Section A,2026-08-17,25,23,2,0.92,1
ENHS_SYN_0014,Grade 7,Section A,2026-08-24,25,24,1,0.96,1
ENHS_SYN_0014,Grade 7,Section A,2026-08-31,25,23,2,0.92,1
ENHS_SYN_0014,Grade 7,Section A,2026-09-07,24,23,1,0.9583,1
ENHS_SYN_0014,Grade 7,Section A,2026-09-14,25,24,1,0.96,1
ENHS_SYN_0014,Grade 7,Section A,2026-09-21,25,25,0,1.0,0
ENHS_SYN_0014,Grade 7,Section A,2026-09-28,25,22,3,0.88,1
ENHS_SYN_0014,Grade 7,Section A,2026-10-05,25,23,2,0.92,1
ENHS_SYN_0014,Grade 7,Section A,2026-10-12,25,22,3,0.88,1
ENHS_SYN_0014,Grade 7,Section A,2026-10-19,25,22,3,0.88,1
ENHS_SYN_0015,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0015,Grade 7,Section A,2026-08-10,25,24,1,0.96,1
ENHS_SYN_0015,Grade 7,Section A,2026-08-17,25,24,1,0.96,1
ENHS_SYN_0015,Grade 7,Section A,2026-08-24,25,22,3,0.88,1
ENHS_SYN_0015,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0015,Grade 7,Section A,2026-09-07,25,23,2,0.92,1
ENHS_SYN_0015,Grade 7,Section A,2026-09-14,25,25,0,1.0,0
ENHS_SYN_0015,Grade 7,Section A,2026-09-21,25,22,3,0.88,1
ENHS_SYN_0015,Grade 7,Section A,2026-09-28,25,23,2,0.92,1
ENHS_SYN_0015,Grade 7,Section A,2026-10-05,25,23,2,0.92,1
ENHS_SYN_0015,Grade 7,Section A,2026-10-12,25,24,1,0.96,1
ENHS_SYN_0015,Grade 7,Section A,2026-10-19,25,23,2,0.92,1
ENHS_SYN_0016,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0016,Grade 7,Section A,2026-08-10,25,25,0,1.0,0
ENHS_SYN_0016,Grade 7,Section A,2026-08-17,24,24,0,1.0,0
ENHS_SYN_0016,Grade 7,Section A,2026-08-24,25,25,0,1.0,0
ENHS_SYN_0016,Grade 7,Section A,2026-08-31,25,25,0,1.0,0
ENHS_SYN_0016,Grade 7,Section A,2026-09-07,25,23,2,0.92,1
ENHS_SYN_0016,Grade 7,Section A,2026-09-14,25,25,0,1.0,0
ENHS_SYN_0016,Grade 7,Section A,2026-09-21,25,23,2,0.92,1
ENHS_SYN_0016,Grade 7,Section A,2026-09-28,25,25,0,1.0,0
ENHS_SYN_0016,Grade 7,Section A,2026-10-05,25,24,1,0.96,1
ENHS_SYN_0016,Grade 7,Section A,2026-10-12,25,25,0,1.0,0
ENHS_SYN_0016,Grade 7,Section A,2026-10-19,25,24,1,0.96,1
ENHS_SYN_0017,Grade 7,Section A,2026-08-03,25,24,1,0.96,1
ENHS_SYN_0017,Grade 7,Section A,2026-08-10,25,24,1,0.96,1
ENHS_SYN_0017,Grade 7,Section A,2026-08-17,24,20,4,0.8333,1
ENHS_SYN_0017,Grade 7,Section A,2026-08-24,25,22,3,0.88,1
ENHS_SYN_0017,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0017,Grade 7,Section A,2026-09-07,25,23,2,0.92,1
ENHS_SYN_0017,Grade 7,Section A,2026-09-14,25,22,3,0.88,1
ENHS_SYN_0017,Grade 7,Section A,2026-09-21,25,23,2,0.92,1
ENHS_SYN_0017,Grade 7,Section A,2026-09-28,25,23,2,0.92,1
ENHS_SYN_0017,Grade 7,Section A,2026-10-05,25,23,2,0.92,1
ENHS_SYN_0017,Grade 7,Section A,2026-10-12,25,24,1,0.96,1
ENHS_SYN_0017,Grade 7,Section A,2026-10-19,25,21,4,0.84,1
ENHS_SYN_0018,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0018,Grade 7,Section A,2026-08-10,25,23,2,0.92,1
ENHS_SYN_0018,Grade 7,Section A,2026-08-17,25,24,1,0.96,1
ENHS_SYN_0018,Grade 7,Section A,2026-08-24,25,25,0,1.0,0
ENHS_SYN_0018,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0018,Grade 7,Section A,2026-09-07,25,24,1,0.96,1
ENHS_SYN_0018,Grade 7,Section A,2026-09-14,25,22,3,0.88,1
ENHS_SYN_0018,Grade 7,Section A,2026-09-21,25,23,2,0.92,1
ENHS_SYN_0018,Grade 7,Section A,2026-09-28,25,21,4,0.84,1
ENHS_SYN_0018,Grade 7,Section A,2026-10-05,25,24,1,0.96,1
ENHS_SYN_0018,Grade 7,Section A,2026-10-12,25,23,2,0.92,1
ENHS_SYN_0018,Grade 7,Section A,2026-10-19,25,25,0,1.0,0
ENHS_SYN_0019,Grade 7,Section A,2026-08-03,25,21,4,0.84,1
ENHS_SYN_0019,Grade 7,Section A,2026-08-10,25,20,5,0.8,1
ENHS_SYN_0019,Grade 7,Section A,2026-08-17,24,20,4,0.8333,1
ENHS_SYN_0019,Grade 7,Section A,2026-08-24,25,18,7,0.72,1
ENHS_SYN_0019,Grade 7,Section A,2026-08-31,25,19,6,0.76,1
ENHS_SYN_0019,Grade 7,Section A,2026-09-07,24,19,5,0.7917,1
ENHS_SYN_0019,Grade 7,Section A,2026-09-14,25,21,4,0.84,1
ENHS_SYN_0019,Grade 7,Section A,2026-09-21,25,19,6,0.76,1
ENHS_SYN_0019,Grade 7,Section A,2026-09-28,25,23,2,0.92,1
ENHS_SYN_0019,Grade 7,Section A,2026-10-05,25,22,3,0.88,1
ENHS_SYN_0019,Grade 7,Section A,2026-10-12,25,16,9,0.64,1
ENHS_SYN_0019,Grade 7,Section A,2026-10-19,25,19,6,0.76,1
ENHS_SYN_0020,Grade 7,Section A,2026-08-03,25,21,4,0.84,1
ENHS_SYN_0020,Grade 7,Section A,2026-08-10,25,24,1,0.96,1
ENHS_SYN_0020,Grade 7,Section A,2026-08-17,25,23,2,0.92,1
ENHS_SYN_0020,Grade 7,Section A,2026-08-24,25,24,1,0.96,1
ENHS_SYN_0020,Grade 7,Section A,2026-08-31,25,23,2,0.92,1
ENHS_SYN_0020,Grade 7,Section A,2026-09-07,25,23,2,0.92,1
ENHS_SYN_0020,Grade 7,Section A,2026-09-14,25,22,3,0.88,1
ENHS_SYN_0020,Grade 7,Section A,2026-09-21,25,23,2,0.92,1
ENHS_SYN_0020,Grade 7,Section A,2026-09-28,24,22,2,0.9167,1
ENHS_SYN_0020,Grade 7,Section A,2026-10-05,25,20,5,0.8,1
ENHS_SYN_0020,Grade 7,Section A,2026-10-12,25,24,1,0.96,1
ENHS_SYN_0020,Grade 7,Section A,2026-10-19,25,23,2,0.92,1
ENHS_SYN_0021,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0021,Grade 7,Section A,2026-08-10,25,22,3,0.88,1
ENHS_SYN_0021,Grade 7,Section A,2026-08-17,25,22,3,0.88,1
ENHS_SYN_0021,Grade 7,Section A,2026-08-24,25,19,6,0.76,1
ENHS_SYN_0021,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0021,Grade 7,Section A,2026-09-07,25,23,2,0.92,1
ENHS_SYN_0021,Grade 7,Section A,2026-09-14,25,21,4,0.84,1
ENHS_SYN_0021,Grade 7,Section A,2026-09-21,25,21,4,0.84,1
ENHS_SYN_0021,Grade 7,Section A,2026-09-28,25,21,4,0.84,1
ENHS_SYN_0021,Grade 7,Section A,2026-10-05,25,23,2,0.92,1
ENHS_SYN_0021,Grade 7,Section A,2026-10-12,25,21,4,0.84,1
ENHS_SYN_0021,Grade 7,Section A,2026-10-19,25,21,4,0.84,1
ENHS_SYN_0022,Grade 7,Section A,2026-08-03,25,21,4,0.84,1
ENHS_SYN_0022,Grade 7,Section A,2026-08-10,25,18,7,0.72,1
ENHS_SYN_0022,Grade 7,Section A,2026-08-17,25,20,5,0.8,1
ENHS_SYN_0022,Grade 7,Section A,2026-08-24,25,20,5,0.8,1
ENHS_SYN_0022,Grade 7,Section A,2026-08-31,25,19,6,0.76,1
ENHS_SYN_0022,Grade 7,Section A,2026-09-07,25,22,3,0.88,1
ENHS_SYN_0022,Grade 7,Section A,2026-09-14,25,17,8,0.68,1
ENHS_SYN_0022,Grade 7,Section A,2026-09-21,24,20,4,0.8333,1
ENHS_SYN_0022,Grade 7,Section A,2026-09-28,25,20,5,0.8,1
ENHS_SYN_0022,Grade 7,Section A,2026-10-05,25,20,5,0.8,1
ENHS_SYN_0022,Grade 7,Section A,2026-10-12,25,22,3,0.88,1
ENHS_SYN_0022,Grade 7,Section A,2026-10-19,25,22,3,0.88,1
ENHS_SYN_0023,Grade 7,Section A,2026-08-03,25,18,7,0.72,1
ENHS_SYN_0023,Grade 7,Section A,2026-08-10,25,23,2,0.92,1
ENHS_SYN_0023,Grade 7,Section A,2026-08-17,25,14,11,0.56,1
ENHS_SYN_0023,Grade 7,Section A,2026-08-24,25,21,4,0.84,1
ENHS_SYN_0023,Grade 7,Section A,2026-08-31,25,24,1,0.96,1
ENHS_SYN_0023,Grade 7,Section A,2026-09-07,25,25,0,1.0,0
ENHS_SYN_0023,Grade 7,Section A,2026-09-14,25,17,8,0.68,1
ENHS_SYN_0023,Grade 7,Section A,2026-09-21,25,17,8,0.68,1
ENHS_SYN_0023,Grade 7,Section A,2026-09-28,25,21,4,0.84,1
ENHS_SYN_0023,Grade 7,Section A,2026-10-05,25,19,6,0.76,1
ENHS_SYN_0023,Grade 7,Section A,2026-10-12,25,22,3,0.88,1
ENHS_SYN_0023,Grade 7,Section A,2026-10-19,25,22,3,0.88,1
ENHS_SYN_0024,Grade 7,Section A,2026-08-03,25,23,2,0.92,1
ENHS_SYN_0024,Grade 7,Section A,2026-08-10,25,24,1,0.96,1
ENHS_SYN_0024,Grade 7,Section A,2026-08-17,25,22,3,0.88,1
ENHS_SYN_0024,Grade 7,Section A,2026-08-24,25,19,6,0.76,1
ENHS_SYN_0024,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0024,Grade 7,Section A,2026-09-07,25,22,3,0.88,1
ENHS_SYN_0024,Grade 7,Section A,2026-09-14,25,22,3,0.88,1
ENHS_SYN_0024,Grade 7,Section A,2026-09-21,25,22,3,0.88,1
ENHS_SYN_0024,Grade 7,Section A,2026-09-28,25,22,3,0.88,1
ENHS_SYN_0024,Grade 7,Section A,2026-10-05,25,23,2,0.92,1
ENHS_SYN_0024,Grade 7,Section A,2026-10-12,25,23,2,0.92,1
ENHS_SYN_0024,Grade 7,Section A,2026-10-19,25,22,3,0.88,1
ENHS_SYN_0025,Grade 7,Section A,2026-08-03,25,22,3,0.88,1
ENHS_SYN_0025,Grade 7,Section A,2026-08-10,25,21,4,0.84,1
ENHS_SYN_0025,Grade 7,Section A,2026-08-17,25,22,3,0.88,1
ENHS_SYN_0025,Grade 7,Section A,2026-08-24,25,23,2,0.92,1
ENHS_SYN_0025,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0025,Grade 7,Section A,2026-09-07,25,22,3,0.88,1
ENHS_SYN_0025,Grade 7,Section A,2026-09-14,25,20,5,0.8,1
ENHS_SYN_0025,Grade 7,Section A,2026-09-21,24,22,2,0.9167,1
ENHS_SYN_0025,Grade 7,Section A,2026-09-28,25,23,2,0.92,1
ENHS_SYN_0025,Grade 7,Section A,2026-10-05,25,24,1,0.96,1
ENHS_SYN_0025,Grade 7,Section A,2026-10-12,25,23,2,0.92,1
ENHS_SYN_0025,Grade 7,Section A,2026-10-19,25,20,5,0.8,1
ENHS_SYN_0026,Grade 7,Section A,2026-08-03,24,18,6,0.75,1
ENHS_SYN_0026,Grade 7,Section A,2026-08-10,25,21,4,0.84,1
ENHS_SYN_0026,Grade 7,Section A,2026-08-17,25,21,4,0.84,1
ENHS_SYN_0026,Grade 7,Section A,2026-08-24,25,23,2,0.92,1
ENHS_SYN_0026,Grade 7,Section A,2026-08-31,25,18,7,0.72,1
ENHS_SYN_0026,Grade 7,Section A,2026-09-07,25,15,10,0.6,1
ENHS_SYN_0026,Grade 7,Section A,2026-09-14,25,18,7,0.72,1
ENHS_SYN_0026,Grade 7,Section A,2026-09-21,25,20,5,0.8,1
ENHS_SYN_0026,Grade 7,Section A,2026-09-28,25,18,7,0.72,1
ENHS_SYN_0026,Grade 7,Section A,2026-10-05,25,19,6,0.76,1
ENHS_SYN_0026,Grade 7,Section A,2026-10-12,25,19,6,0.76,1
ENHS_SYN_0026,Grade 7,Section A,2026-10-19,25,19,6,0.76,1
ENHS_SYN_0027,Grade 7,Section A,2026-08-03,25,18,7,0.72,1
ENHS_SYN_0027,Grade 7,Section A,2026-08-10,25,22,3,0.88,1
ENHS_SYN_0027,Grade 7,Section A,2026-08-17,25,24,1,0.96,1
ENHS_SYN_0027,Grade 7,Section A,2026-08-24,25,23,2,0.92,1
ENHS_SYN_0027,Grade 7,Section A,2026-08-31,25,20,5,0.8,1
ENHS_SYN_0027,Grade 7,Section A,2026-09-07,25,21,4,0.84,1
ENHS_SYN_0027,Grade 7,Section A,2026-09-14,25,18,7,0.72,1
ENHS_SYN_0027,Grade 7,Section A,2026-09-21,25,18,7,0.72,1
ENHS_SYN_0027,Grade 7,Section A,2026-09-28,25,18,7,0.72,1
ENHS_SYN_0027,Grade 7,Section A,2026-10-05,25,18,7,0.72,1
ENHS_SYN_0027,Grade 7,Section A,2026-10-12,25,21,4,0.84,1
ENHS_SYN_0027,Grade 7,Section A,2026-10-19,25,22,3,0.88,1
ENHS_SYN_0028,Grade 7,Section A,2026-08-03,25,19,6,0.76,1
ENHS_SYN_0028,Grade 7,Section A,2026-08-10,25,25,0,1.0,0
ENHS_SYN_0028,Grade 7,Section A,2026-08-17,25,21,4,0.84,1
ENHS_SYN_0028,Grade 7,Section A,2026-08-24,25,16,9,0.64,1
ENHS_SYN_0028,Grade 7,Section A,2026-08-31,25,22,3,0.88,1
ENHS_SYN_0028,Grade 7,Section A,2026-09-07,25,19,6,0.76,1
ENHS_SYN_0028,Grade 7,Section A,2026-09-14,25,22,3,0.88,1
ENHS_SYN_0028,Grade 7,Section A,2026-09-21,25,21,4,0.84,1
ENHS_SYN_0028,Grade 7,Section A,2026-09-28,25,16,9,0.64,1
ENHS_SYN_0028,Grade 7,Section A,2026-10-05,25,19,6,0.76,1
ENHS_SYN_0028,Grade 7,Section A,2026-10-12,24,22,2,0.9167,1
ENHS_SYN_0028,Grade 7,Section A,2026-10-19,25,22,3,0.88,1
ENHS_SYN_0029,Grade 7,Section A,2026-08-03,25,22,3,0.88,1
ENHS_SYN_0029,Grade 7,Section A,2026-08-10,25,22,3,0.88,1
