Pattern_Rank,Student_ID,Grade_Level,Section,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Lowest_Attendance_Subject,Lowest_Subject_Attendance_Rate,Total_Observed_Weeks,Weeks_With_Absence,Proportion_Weeks_With_Absence,Longest_Consecutive_Days_With_Any_Absence,Highest_Absence_Weekday,Highest_Weekday_Absence_Rate
15,ENHS_SYN_0324,Grade 9,Section A,300,215,85,0.7167,0.2833,51,0.76,0.6733,-0.0867,Subject B,0.6833,12,12,1.0,16,Friday,0.4
16,ENHS_SYN_0406,Grade 9,Section C,298,213,85,0.7148,0.2852,45,0.6622,0.7667,0.1045,Subject A,0.65,12,12,1.0,15,Monday,0.3167
17,ENHS_SYN_0267,Grade 8,Section C,300,216,84,0.72,0.28,46,0.7133,0.7267,0.0133,Subject E,0.65,12,12,1.0,9,Friday,0.35
18,ENHS_SYN_0334,Grade 9,Section A,299,216,83,0.7224,0.2776,49,0.7651,0.68,-0.0851,Subject A,0.6833,12,12,1.0,12,Monday,0.3
19,ENHS_SYN_0576,Grade 10,Section C,299,216,83,0.7224,0.2776,45,0.745,0.7,-0.045,Subject C,0.6949,12,12,1.0,11,Thursday,0.4167
20,ENHS_SYN_0150,Grade 7,Section C,300,218,82,0.7267,0.2733,46,0.72,0.7333,0.0133,Subject E,0.6667,12,12,1.0,14,Friday,0.35
21,ENHS_SYN_0184,Grade 8,Section A,300,218,82,0.7267,0.2733,46,0.76,0.6933,-0.0667,Subject A,0.6833,12,12,1.0,10,Wednesday,0.3333
22,ENHS_SYN_0444,Grade 9,Section C,298,216,82,0.7248,0.2752,49,0.7432,0.7067,-0.0366,Subject B,0.65,12,12,1.0,8,Friday,0.3559
23,ENHS_SYN_0475,Grade 10,Section A,297,215,82,0.7239,0.2761,49,0.6933,0.7551,0.0618,Subject D,0.65,12,12,1.0,12,Friday,0.3167
24,ENHS_SYN_0047,Grade 7,Section A,300,219,81,0.73,0.27,50,0.7,0.76,0.06,Subject A,0.7,12,12,1.0,12,Monday,0.3333
25,ENHS_SYN_0054,Grade 7,Section B,300,219,81,0.73,0.27,46,0.76,0.7,-0.06,Subject A,0.6667,12,12,1.0,9,Monday,0.3
26,ENHS_SYN_0343,Grade 9,Section A,300,219,81,0.73,0.27,48,0.7467,0.7133,-0.0333,Subject D,0.6167,12,12,1.0,9,Wednesday,0.3667
27,ENHS_SYN_0394,Grade 9,Section B,299,218,81,0.7291,0.2709,44,0.7667,0.6913,-0.0754,Subject D,0.661,12,12,1.0,11,Monday,0.3333
28,ENHS_SYN_0579,Grade 10,Section C,300,220,80,0.7333,0.2667,48,0.7267,0.74,0.0133,Subject C,0.6667,12,12,1.0,11,Friday,0.3667
29,ENHS_SYN_0126,Grade 7,Section C,300,221,79,0.7367,0.2633,50,0.74,0.7333,-0.0067,Subject B,0.6833,12,12,1.0,13,Wednesday,0.3167
30,ENHS_SYN_0204,Grade 8,Section B,300,221,79,0.7367,0.2633,47,0.74,0.7333,-0.0067,Subject A,0.7,12,12,1.0,16,Monday,0.3667
31,ENHS_SYN_0501,Grade 10,Section B,298,219,79,0.7349,0.2651,48,0.7718,0.698,-0.0738,Subject B,0.6833,12,12,1.0,14,Tuesday,0.3
32,ENHS_SYN_0230,Grade 8,Section B,300,222,78,0.74,0.26,46,0.7667,0.7133,-0.0533,Subject C,0.6667,12,12,1.0,9,Wednesday,0.3333
33,ENHS_SYN_0585,Grade 10,Section C,298,220,78,0.7383,0.2617,49,0.7651,0.7114,-0.0537,Subject D,0.6333,12,12,1.0,10,Monday,0.2833
34,ENHS_SYN_0189,Grade 8,Section A,300,223,77,0.7433,0.2567,46,0.8133,0.6733,-0.14,Subject A,0.6667,12,12,1.0,9,Friday,0.2833
35,ENHS_SYN_0048,Grade 7,Section A,300,224,76,0.7467,0.2533,46,0.7667,0.7267,-0.04,Subject E,0.6833,12,12,1.0,11,Tuesday,0.3167
36,ENHS_SYN_0069,Grade 7,Section B,297,221,76,0.7441,0.2559,44,0.7181,0.7703,0.0521,Subject E,0.6667,12,12,1.0,13,Monday,0.2881
37,ENHS_SYN_0094,Grade 7,Section B,300,224,76,0.7467,0.2533,46,0.7467,0.7467,0.0,Subject C,0.7167,12,12,1.0,9,Thursday,0.3333
38,ENHS_SYN_0238,Grade 8,Section B,300,224,76,0.7467,0.2533,46,0.7333,0.76,0.0267,Subject C,0.7,12,12,1.0,25,Monday,0.3167
39,ENHS_SYN_0009,Grade 7,Section A,300,225,75,0.75,0.25,43,0.76,0.74,-0.02,Subject C,0.7167,12,12,1.0,8,Thursday,0.4333
40,ENHS_SYN_0168,Grade 8,Section A,298,223,75,0.7483,0.2517,46,0.7568,0.74,-0.0168,Subject B,0.6167,12,12,1.0,9,Wednesday,0.2881
41,ENHS_SYN_0300,Grade 8,Section C,300,225,75,0.75,0.25,43,0.7667,0.7333,-0.0333,Subject E,0.6333,12,12,1.0,9,Friday,0.4
42,ENHS_SYN_0357,Grade 9,Section B,300,225,75,0.75,0.25,48,0.7533,0.7467,-0.0067,Subject A,0.7,12,12,1.0,13,Friday,0.3
43,ENHS_SYN_0451,Grade 10,Section A,297,222,75,0.7475,0.2525,43,0.75,0.745,-0.005,Subject C,0.7119,12,12,1.0,9,Wednesday,0.339
44,ENHS_SYN_0504,Grade 10,Section B,300,225,75,0.75,0.25,43,0.7533,0.7467,-0.0067,Subject A,0.7167,12,12,1.0,9,Friday,0.3667
45,ENHS_SYN_0044,Grade 7,Section A,300,226,74,0.7533,0.2467,46,0.78,0.7267,-0.0533,Subject D,0.6667,12,12,1.0,10,Monday,0.3167
46,ENHS_SYN_0101,Grade 7,Section C,300,226,74,0.7533,0.2467,44,0.7733,0.7333,-0.04,Subject E,0.7,12,12,1.0,10,Monday,0.2833
47,ENHS_SYN_0219,Grade 8,Section B,300,226,74,0.7533,0.2467,46,0.7467,0.76,0.0133,Subject E,0.6833,12,12,1.0,16,Monday,0.3
48,ENHS_SYN_0331,Grade 9,Section A,298,224,74,0.7517,0.2483,51,0.7517,0.7517,0.0,Subject A,0.7167,12,12,1.0,16,Friday,0.2833
49,ENHS_SYN_0381,Grade 9,Section B,300,226,74,0.7533,0.2467,49,0.7867,0.72,-0.0667,Subject D,0.6333,12,12,1.0,11,Friday,0.3167
50,ENHS_SYN_0466,Grade 10,Section A,300,226,74,0.7533,0.2467,43,0.7467,0.76,0.0133,Subject C,0.7167,12,12,1.0,8,Friday,0.35
51,ENHS_SYN_0003,Grade 7,Section A,299,226,73,0.7559,0.2441,43,0.76,0.7517,-0.0083,Subject C,0.6667,12,12,1.0,8,Thursday,0.3167
52,ENHS_SYN_0173,Grade 8,Section A,300,227,73,0.7567,0.2433,42,0.7733,0.74,-0.0333,Subject C,0.7,12,12,1.0,8,Friday,0.2833
53,ENHS_SYN_0306,Grade 9,Section A,299,226,73,0.7559,0.2441,42,0.745,0.7667,0.0217,Subject D,0.7119,12,12,1.0,10,Monday,0.3167
54,ENHS_SYN_0401,Grade 9,Section C,299,226,73,0.7559,0.2441,44,0.78,0.7315,-0.0485,Subject D,0.6833,12,12,1.0,7,Friday,0.2833
55,ENHS_SYN_0431,Grade 9,Section C,300,227,73,0.7567,0.2433,43,0.74,0.7733,0.0333,Subject D,0.7,12,12,1.0,11,Monday,0.3
56,ENHS_SYN_0118,Grade 7,Section C,300,228,72,0.76,0.24,45,0.7133,0.8067,0.0933,Subject E,0.7333,12,12,1.0,9,Wednesday,0.3167
57,ENHS_SYN_0341,Grade 9,Section A,299,227,72,0.7592,0.2408,46,0.7667,0.7517,-0.015,Subject C,0.7167,12,12,1.0,12,Friday,0.3051
58,ENHS_SYN_0542,Grade 10,Section B,299,227,72,0.7592,0.2408,44,0.76,0.7584,-0.0016,Subject C,0.6667,12,12,1.0,8,Tuesday,0.3
59,ENHS_SYN_0005,Grade 7,Section A,300,229,71,0.7633,0.2367,42,0.8067,0.72,-0.0867,Subject E,0.6833,12,12,1.0,8,Friday,0.3333
60,ENHS_SYN_0426,Grade 9,Section C,299,228,71,0.7625,0.2375,47,0.7867,0.7383,-0.0484,Subject C,0.7167,12,12,1.0,13,Tuesday,0.2712
61,ENHS_SYN_0511,Grade 10,Section B,300,229,71,0.7633,0.2367,45,0.7667,0.76,-0.0067,Subject C,0.7,12,12,1.0,8,Thursday,0.2667
62,ENHS_SYN_0026,Grade 7,Section A,299,229,70,0.7659,0.2341,46,0.7785,0.7533,-0.0252,Subject C,0.7,12,12,1.0,14,Wednesday,0.3
63,ENHS_SYN_0041,Grade 7,Section A,300,230,70,0.7667,0.2333,45,0.78,0.7533,-0.0267,Subject E,0.7167,12,12,1.0,14,Wednesday,0.3167
64,ENHS_SYN_0182,Grade 8,Section A,300,230,70,0.7667,0.2333,46,0.7667,0.7667,0.0,Subject C,0.7,12,12,1.0,17,Friday,0.2667
65,ENHS_SYN_0217,Grade 8,Section B,300,230,70,0.7667,0.2333,44,0.8,0.7333,-0.0667,Subject B,0.7333,12,12,1.0,12,Tuesday,0.3
66,ENHS_SYN_0239,Grade 8,Section B,299,229,70,0.7659,0.2341,48,0.7248,0.8067,0.0818,Subject B,0.6949,12,12,1.0,21,Monday,0.2881
67,ENHS_SYN_0255,Grade 8,Section C,300,230,70,0.7667,0.2333,44,0.7667,0.7667,0.0,Subject D,0.7167,12,12,1.0,8,Monday,0.2667
68,ENHS_SYN_0376,Grade 9,Section B,300,230,70,0.7667,0.2333,46,0.7733,0.76,-0.0133,Subject D,0.7,12,12,1.0,12,Friday,0.2667
69,ENHS_SYN_0459,Grade 10,Section A,300,230,70,0.7667,0.2333,38,0.78,0.7533,-0.0267,Subject E,0.6833,12,12,1.0,7,Tuesday,0.3167
70,ENHS_SYN_0539,Grade 10,Section B,299,229,70,0.7659,0.2341,43,0.8,0.7315,-0.0685,Subject C,0.7167,12,12,1.0,16,Friday,0.2667
71,ENHS_SYN_0562,Grade 10,Section C,300,230,70,0.7667,0.2333,43,0.76,0.7733,0.0133,Subject B,0.7333,12,12,1.0,10,Friday,0.3167
72,ENHS_SYN_0006,Grade 7,Section A,299,230,69,0.7692,0.2308,46,0.7733,0.7651,-0.0082,Subject B,0.678,12,12,1.0,12,Wednesday,0.322
73,ENHS_SYN_0172,Grade 8,Section A,300,231,69,0.77,0.23,47,0.74,0.8,0.06,Subject A,0.7333,12,12,1.0,12,Friday,0.3333
74,ENHS_SYN_0234,Grade 8,Section B,298,229,69,0.7685,0.2315,46,0.7852,0.7517,-0.0336,Subject D,0.6949,12,12,1.0,7,Friday,0.3051
75,ENHS_SYN_0428,Grade 9,Section C,299,230,69,0.7692,0.2308,44,0.8,0.7383,-0.0617,Subject E,0.7,12,12,1.0,10,Thursday,0.3051
76,ENHS_SYN_0435,Grade 9,Section C,297,228,69,0.7677,0.2323,40,0.7584,0.777,0.0186,Subject E,0.7119,12,12,1.0,10,Tuesday,0.339
77,ENHS_SYN_0033,Grade 7,Section A,300,232,68,0.7733,0.2267,41,0.76,0.7867,0.0267,Subject B,0.7333,12,12,1.0,9,Friday,0.3333
78,ENHS_SYN_0050,Grade 7,Section A,299,231,68,0.7726,0.2274,41,0.7867,0.7584,-0.0283,Subject A,0.7167,12,12,1.0,9,Monday,0.3
79,ENHS_SYN_0128,Grade 7,Section C,300,232,68,0.7733,0.2267,43,0.7733,0.7733,0.0,Subject D,0.6833,12,12,1.0,7,Monday,0.2833
80,ENHS_SYN_0212,Grade 8,Section B,300,232,68,0.7733,0.2267,41,0.7867,0.76,-0.0267,Subject D,0.7167,12,12,1.0,10,Friday,0.25
81,ENHS_SYN_0257,Grade 8,Section C,300,232,68,0.7733,0.2267,41,0.78,0.7667,-0.0133,Subject B,0.6833,12,12,1.0,6,Wednesday,0.3167
82,ENHS_SYN_0344,Grade 9,Section A,300,232,68,0.7733,0.2267,45,0.7533,0.7933,0.04,Subject C,0.65,12,12,1.0,7,Monday,0.2833
83,ENHS_SYN_0476,Grade 10,Section A,300,232,68,0.7733,0.2267,43,0.7933,0.7533,-0.04,Subject D,0.7167,12,12,1.0,13,Monday,0.3
84,ENHS_SYN_0111,Grade 7,Section C,300,233,67,0.7767,0.2233,40,0.78,0.7733,-0.0067,Subject E,0.7167,12,12,1.0,11,Thursday,0.2833
85,ENHS_SYN_0190,Grade 8,Section A,300,233,67,0.7767,0.2233,44,0.78,0.7733,-0.0067,Subject E,0.75,12,12,1.0,9,Friday,0.3167
86,ENHS_SYN_0261,Grade 8,Section C,300,233,67,0.7767,0.2233,47,0.8067,0.7467,-0.06,Subject C,0.7167,12,12,1.0,12,Thursday,0.25
87,ENHS_SYN_0330,Grade 9,Section A,299,232,67,0.7759,0.2241,43,0.7248,0.8267,0.1018,Subject E,0.7,12,12,1.0,10,Friday,0.25
88,ENHS_SYN_0421,Grade 9,Section C,300,233,67,0.7767,0.2233,43,0.82,0.7333,-0.0867,Subject B,0.75,12,12,1.0,7,Friday,0.2667
89,ENHS_SYN_0517,Grade 10,Section B,300,233,67,0.7767,0.2233,44,0.8,0.7533,-0.0467,Subject E,0.7,12,12,1.0,11,Friday,0.2667
90,ENHS_SYN_0294,Grade 8,Section C,300,234,66,0.78,0.22,43,0.7933,0.7667,-0.0267,Subject D,0.6667,12,12,1.0,9,Tuesday,0.3
91,ENHS_SYN_0319,Grade 9,Section A,300,234,66,0.78,0.22,40,0.8067,0.7533,-0.0533,Subject D,0.7167,12,12,1.0,11,Friday,0.2833
92,ENHS_SYN_0481,Grade 10,Section A,299,233,66,0.7793,0.2207,41,0.8267,0.7315,-0.0951,Subject C,0.7167,12,12,1.0,7,Monday,0.25
93,ENHS_SYN_0490,Grade 10,Section A,299,233,66,0.7793,0.2207,42,0.7933,0.7651,-0.0282,Subject C,0.7288,12,12,1.0,13,Monday,0.2833
94,ENHS_SYN_0516,Grade 10,Section B,298,232,66,0.7785,0.2215,38,0.7568,0.8,0.0432,Subject D,0.6949,12,12,1.0,7,Tuesday,0.2712
95,ENHS_SYN_0593,Grade 10,Section C,300,234,66,0.78,0.22,45,0.76,0.8,0.04,Subject D,0.7167,12,12,1.0,6,Thursday,0.2833
96,ENHS_SYN_0110,Grade 7,Section C,300,235,65,0.7833,0.2167,44,0.8,0.7667,-0.0333,Subject B,0.75,12,12,1.0,8,Wednesday,0.3
97,ENHS_SYN_0074,Grade 7,Section B,300,236,64,0.7867,0.2133,40,0.76,0.8133,0.0533,Subject B,0.7333,12,12,1.0,7,Monday,0.25
98,ENHS_SYN_0227,Grade 8,Section B,300,236,64,0.7867,0.2133,42,0.76,0.8133,0.0533,Subject E,0.7,12,12,1.0,9,Friday,0.2667
99,ENHS_SYN_0369,Grade 9,Section B,300,236,64,0.7867,0.2133,42,0.8,0.7733,-0.0267,Subject C,0.7667,12,12,1.0,7,Thursday,0.3167
100,ENHS_SYN_0468,Grade 10,Section A,297,233,64,0.7845,0.2155,39,0.7852,0.7838,-0.0015,Subject B,0.7458,12,12,1.0,8,Wednesday,0.2712
101,ENHS_SYN_0533,Grade 10,Section B,300,236,64,0.7867,0.2133,42,0.78,0.7933,0.0133,Subject B,0.7167,12,12,1.0,8,Friday,0.3167
102,ENHS_SYN_0185,Grade 8,Section A,299,236,63,0.7893,0.2107,44,0.8067,0.7718,-0.0349,Subject C,0.7,12,12,1.0,9,Wednesday,0.2542
103,ENHS_SYN_0356,Grade 9,Section B,299,236,63,0.7893,0.2107,44,0.7667,0.8121,0.0454,Subject E,0.75,12,12,1.0,8,Friday,0.25
104,ENHS_SYN_0384,Grade 9,Section B,300,237,63,0.79,0.21,41,0.7667,0.8133,0.0467,Subject C,0.75,12,12,1.0,5,Friday,0.2667
105,ENHS_SYN_0574,Grade 10,Section C,298,235,63,0.7886,0.2114,39,0.7718,0.8054,0.0336,Subject D,0.7,12,12,1.0,7,Thursday,0.25
106,ENHS_SYN_0038,Grade 7,Section A,299,237,62,0.7926,0.2074,42,0.7867,0.7987,0.012,Subject D,0.7667,12,12,1.0,8,Thursday,0.3
107,ENHS_SYN_0165,Grade 8,Section A,300,238,62,0.7933,0.2067,38,0.8333,0.7533,-0.08,Subject B,0.7333,12,12,1.0,8,Wednesday,0.2667
108,ENHS_SYN_0248,Grade 8,Section B,300,238,62,0.7933,0.2067,41,0.8333,0.7533,-0.08,Subject D,0.75,12,12,1.0,5,Tuesday,0.2667
109,ENHS_SYN_0329,Grade 9,Section A,296,234,62,0.7905,0.2095,42,0.8108,0.7703,-0.0405,Subject D,0.7241,12,12,1.0,6,Tuesday,0.25
110,ENHS_SYN_0443,Grade 9,Section C,298,236,62,0.7919,0.2081,39,0.8456,0.7383,-0.1074,Subject D,0.7119,12,12,1.0,8,Monday,0.3
111,ENHS_SYN_0461,Grade 10,Section A,298,236,62,0.7919,0.2081,40,0.8054,0.7785,-0.0268,Subject C,0.7167,12,12,1.0,6,Friday,0.2667
112,ENHS_SYN_0019,Grade 7,Section A,298,237,61,0.7953,0.2047,44,0.7905,0.8,0.0095,Subject C,0.7167,12,12,1.0,14,Friday,0.25
113,ENHS_SYN_0260,Grade 8,Section C,300,239,61,0.7967,0.2033,36,0.7867,0.8067,0.02,Subject D,0.6833,12,12,1.0,8,Monday,0.25
114,ENHS_SYN_0265,Grade 8,Section C,300,239,61,0.7967,0.2033,41,0.8133,0.78,-0.0333,Subject C,0.75,12,12,1.0,9,Thursday,0.2333
115,ENHS_SYN_0007,Grade 7,Section A,299,239,60,0.7993,0.2007,40,0.7785,0.82,0.0415,Subject E,0.7966,12,12,1.0,9,Friday,0.322
116,ENHS_SYN_0131,Grade 7,Section C,299,239,60,0.7993,0.2007,41,0.8054,0.7933,-0.012,Subject E,0.75,12,12,1.0,11,Thursday,0.2542
117,ENHS_SYN_0362,Grade 9,Section B,300,240,60,0.8,0.2,41,0.82,0.78,-0.04,Subject A,0.75,12,12,1.0,10,Monday,0.2667
118,ENHS_SYN_0464,Grade 10,Section A,300,240,60,0.8,0.2,40,0.7933,0.8067,0.0133,Subject C,0.75,12,12,1.0,5,Wednesday,0.2667
119,ENHS_SYN_0488,Grade 10,Section A,300,240,60,0.8,0.2,43,0.8267,0.7733,-0.0533,Subject C,0.7,12,12,1.0,9,Thursday,0.2167
120,ENHS_SYN_0175,Grade 8,Section A,300,241,59,0.8033,0.1967,37,0.76,0.8467,0.0867,Subject E,0.75,12,12,1.0,7,Monday,0.25
121,ENHS_SYN_0274,Grade 8,Section C,300,241,59,0.8033,0.1967,40,0.8,0.8067,0.0067,Subject B,0.75,12,12,1.0,10,Monday,0.2833
122,ENHS_SYN_0332,Grade 9,Section A,300,241,59,0.8033,0.1967,39,0.8133,0.7933,-0.02,Subject C,0.75,12,12,1.0,11,Friday,0.2667
123,ENHS_SYN_0395,Grade 9,Section B,300,241,59,0.8033,0.1967,41,0.7933,0.8133,0.02,Subject E,0.7667,12,12,1.0,8,Friday,0.2333
124,ENHS_SYN_0482,Grade 10,Section A,300,241,59,0.8033,0.1967,40,0.7933,0.8133,0.02,Subject A,0.7,12,12,1.0,10,Thursday,0.2333
125,ENHS_SYN_0537,Grade 10,Section B,300,241,59,0.8033,0.1967,40,0.8133,0.7933,-0.02,Subject E,0.7333,12,12,1.0,7,Friday,0.2167
126,ENHS_SYN_0550,Grade 10,Section B,300,241,59,0.8033,0.1967,37,0.8067,0.8,-0.0067,Subject B,0.6667,12,12,1.0,4,Tuesday,0.2667
127,ENHS_SYN_0561,Grade 10,Section C,300,241,59,0.8033,0.1967,40,0.8267,0.78,-0.0467,Subject A,0.7667,12,12,1.0,5,Thursday,0.2667
128,ENHS_SYN_0022,Grade 7,Section A,299,241,58,0.806,0.194,43,0.8,0.8121,0.0121,Subject D,0.7833,12,12,1.0,10,Tuesday,0.2333
129,ENHS_SYN_0060,Grade 7,Section B,300,242,58,0.8067,0.1933,36,0.8,0.8133,0.0133,Subject E,0.7333,12,12,1.0,10,Friday,0.2833
130,ENHS_SYN_0310,Grade 9,Section A,300,242,58,0.8067,0.1933,39,0.8133,0.8,-0.0133,Subject B,0.75,12,12,1.0,8,Monday,0.2833
131,ENHS_SYN_0371,Grade 9,Section B,300,242,58,0.8067,0.1933,41,0.8267,0.7867,-0.04,Subject A,0.7,12,12,1.0,9,Tuesday,0.25
132,ENHS_SYN_0432,Grade 9,Section C,297,239,58,0.8047,0.1953,38,0.8163,0.7933,-0.023,Subject D,0.75,12,12,1.0,6,Friday,0.2203
133,ENHS_SYN_0503,Grade 10,Section B,300,242,58,0.8067,0.1933,39,0.7867,0.8267,0.04,Subject B,0.75,12,12,1.0,8,Friday,0.2833
134,ENHS_SYN_0512,Grade 10,Section B,299,241,58,0.806,0.194,36,0.8054,0.8067,0.0013,Subject D,0.7667,12,12,1.0,5,Friday,0.3
135,ENHS_SYN_0590,Grade 10,Section C,299,241,58,0.806,0.194,42,0.7785,0.8333,0.0548,Subject B,0.7167,12,12,1.0,7,Wednesday,0.2833
136,ENHS_SYN_0027,Grade 7,Section A,300,243,57,0.81,0.19,40,0.8533,0.7667,-0.0867,Subject A,0.75,12,12,1.0,11,Thursday,0.25
137,ENHS_SYN_0085,Grade 7,Section B,300,243,57,0.81,0.19,37,0.8067,0.8133,0.0067,Subject E,0.7167,12,12,1.0,5,Monday,0.25
138,ENHS_SYN_0152,Grade 8,Section A,300,243,57,0.81,0.19,40,0.8667,0.7533,-0.1133,Subject D,0.6667,12,12,1.0,7,Monday,0.2667
139,ENHS_SYN_0288,Grade 8,Section C,300,243,57,0.81,0.19,42,0.7933,0.8267,0.0333,Subject B,0.7333,12,12,1.0,8,Wednesday,0.2333
140,ENHS_SYN_0363,Grade 9,Section B,300,243,57,0.81,0.19,33,0.8,0.82,0.02,Subject C,0.75,12,12,1.0,5,Monday,0.3
141,ENHS_SYN_0473,Grade 10,Section A,300,243,57,0.81,0.19,39,0.84,0.78,-0.06,Subject E,0.7,12,12,1.0,6,Thursday,0.2333
142,ENHS_SYN_0580,Grade 10,Section C,300,243,57,0.81,0.19,40,0.8267,0.7933,-0.0333,Subject E,0.7167,12,12,1.0,5,Wednesday,0.25
143,ENHS_SYN_0012,Grade 7,Section A,299,243,56,0.8127,0.1873,41,0.8333,0.7919,-0.0414,Subject C,0.7833,12,12,1.0,7,Tuesday,0.2167
144,ENHS_SYN_0035,Grade 7,Section A,299,243,56,0.8127,0.1873,38,0.7919,0.8333,0.0414,Subject C,0.7667,12,12,1.0,10,Thursday,0.2167
145,ENHS_SYN_0053,Grade 7,Section B,300,244,56,0.8133,0.1867,39,0.8,0.8267,0.0267,Subject D,0.7667,12,12,1.0,10,Tuesday,0.2167
146,ENHS_SYN_0103,Grade 7,Section C,299,243,56,0.8127,0.1873,39,0.8067,0.8188,0.0121,Subject E,0.7667,12,12,1.0,8,Wednesday,0.25
147,ENHS_SYN_0142,Grade 7,Section C,299,243,56,0.8127,0.1873,38,0.7933,0.8322,0.0389,Subject A,0.7667,12,12,1.0,10,Thursday,0.2833
148,ENHS_SYN_0148,Grade 7,Section C,300,244,56,0.8133,0.1867,38,0.82,0.8067,-0.0133,Subject E,0.7667,12,12,1.0,5,Monday,0.2667
149,ENHS_SYN_0275,Grade 8,Section C,300,244,56,0.8133,0.1867,37,0.8067,0.82,0.0133,Subject A,0.75,12,12,1.0,6,Tuesday,0.25
150,ENHS_SYN_0378,Grade 9,Section B,299,243,56,0.8127,0.1873,38,0.82,0.8054,-0.0146,Subject B,0.7667,12,12,1.0,8,Friday,0.2667
151,ENHS_SYN_0589,Grade 10,Section C,300,244,56,0.8133,0.1867,41,0.8133,0.8133,0.0,Subject E,0.7833,12,12,1.0,7,Friday,0.25
152,ENHS_SYN_0144,Grade 7,Section C,299,244,55,0.8161,0.1839,39,0.8333,0.7987,-0.0347,Subject A,0.7667,12,12,1.0,7,Tuesday,0.2667
153,ENHS_SYN_0195,Grade 8,Section A,299,244,55,0.8161,0.1839,35,0.7852,0.8467,0.0614,Subject D,0.7966,12,12,1.0,11,Friday,0.2833
154,ENHS_SYN_0437,Grade 9,Section C,300,245,55,0.8167,0.1833,37,0.8533,0.78,-0.0733,Subject A,0.7833,12,12,1.0,8,Friday,0.2333
155,ENHS_SYN_0448,Grade 9,Section C,299,244,55,0.8161,0.1839,39,0.82,0.8121,-0.0079,Subject B,0.75,12,12,1.0,8,Friday,0.2333
156,ENHS_SYN_0471,Grade 10,Section A,300,245,55,0.8167,0.1833,41,0.8267,0.8067,-0.02,Subject D,0.75,12,12,1.0,8,Thursday,0.25
157,ENHS_SYN_0530,Grade 10,Section B,299,244,55,0.8161,0.1839,41,0.8133,0.8188,0.0055,Subject C,0.75,12,12,1.0,11,Friday,0.2333
158,ENHS_SYN_0544,Grade 10,Section B,300,245,55,0.8167,0.1833,39,0.8133,0.82,0.0067,Subject C,0.7167,12,12,1.0,7,Friday,0.3333
