Student_ID,Grade_Level,Section,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Lowest_Attendance_Subject,Lowest_Subject_Attendance_Rate
ENHS_SYN_0037,Grade 7,Section A,300,288,12,0.96,0.04,11,0.9333,0.9867,0.0533,Subject B,0.9167
ENHS_SYN_0038,Grade 7,Section A,299,237,62,0.7926,0.2074,42,0.7867,0.7987,0.012,Subject D,0.7667
ENHS_SYN_0039,Grade 7,Section A,300,273,27,0.91,0.09,22,0.9,0.92,0.02,Subject C,0.8833
ENHS_SYN_0040,Grade 7,Section A,298,273,25,0.9161,0.0839,23,0.9324,0.9,-0.0324,Subject D,0.8667
ENHS_SYN_0041,Grade 7,Section A,300,230,70,0.7667,0.2333,45,0.78,0.7533,-0.0267,Subject E,0.7167
ENHS_SYN_0042,Grade 7,Section A,300,283,17,0.9433,0.0567,16,0.94,0.9467,0.0067,Subject E,0.9
ENHS_SYN_0043,Grade 7,Section A,300,248,52,0.8267,0.1733,34,0.86,0.7933,-0.0667,Subject E,0.8
ENHS_SYN_0044,Grade 7,Section A,300,226,74,0.7533,0.2467,46,0.78,0.7267,-0.0533,Subject D,0.6667
ENHS_SYN_0045,Grade 7,Section A,300,251,49,0.8367,0.1633,36,0.86,0.8133,-0.0467,Subject D,0.75
ENHS_SYN_0046,Grade 7,Section A,300,276,24,0.92,0.08,22,0.9067,0.9333,0.0267,Subject E,0.8833
ENHS_SYN_0047,Grade 7,Section A,300,219,81,0.73,0.27,50,0.7,0.76,0.06,Subject A,0.7
ENHS_SYN_0048,Grade 7,Section A,300,224,76,0.7467,0.2533,46,0.7667,0.7267,-0.04,Subject E,0.6833
ENHS_SYN_0049,Grade 7,Section A,300,248,52,0.8267,0.1733,37,0.82,0.8333,0.0133,Subject B,0.8
ENHS_SYN_0050,Grade 7,Section A,299,231,68,0.7726,0.2274,41,0.7867,0.7584,-0.0283,Subject A,0.7167
ENHS_SYN_0051,Grade 7,Section B,300,267,33,0.89,0.11,29,0.8933,0.8867,-0.0067,Subject C,0.8
ENHS_SYN_0052,Grade 7,Section B,300,274,26,0.9133,0.0867,24,0.92,0.9067,-0.0133,Subject B,0.85
ENHS_SYN_0053,Grade 7,Section B,300,244,56,0.8133,0.1867,39,0.8,0.8267,0.0267,Subject D,0.7667
ENHS_SYN_0054,Grade 7,Section B,300,219,81,0.73,0.27,46,0.76,0.7,-0.06,Subject A,0.6667
ENHS_SYN_0055,Grade 7,Section B,298,263,35,0.8826,0.1174,32,0.8792,0.8859,0.0067,Subject D,0.8644
ENHS_SYN_0056,Grade 7,Section B,300,290,10,0.9667,0.0333,9,0.9667,0.9667,0.0,Subject B,0.95
ENHS_SYN_0057,Grade 7,Section B,300,259,41,0.8633,0.1367,28,0.8867,0.84,-0.0467,Subject D,0.8
ENHS_SYN_0058,Grade 7,Section B,300,282,18,0.94,0.06,17,0.9267,0.9533,0.0267,Subject E,0.8833
ENHS_SYN_0059,Grade 7,Section B,300,287,13,0.9567,0.0433,10,0.96,0.9533,-0.0067,Subject E,0.9167
ENHS_SYN_0060,Grade 7,Section B,300,242,58,0.8067,0.1933,36,0.8,0.8133,0.0133,Subject E,0.7333
ENHS_SYN_0061,Grade 7,Section B,300,279,21,0.93,0.07,18,0.9667,0.8933,-0.0733,Subject E,0.8667
ENHS_SYN_0062,Grade 7,Section B,299,270,29,0.903,0.097,24,0.9128,0.8933,-0.0194,Subject A,0.8644
ENHS_SYN_0063,Grade 7,Section B,300,285,15,0.95,0.05,14,0.9267,0.9733,0.0467,Subject B,0.9167
ENHS_SYN_0064,Grade 7,Section B,300,264,36,0.88,0.12,31,0.8533,0.9067,0.0533,Subject E,0.8167
ENHS_SYN_0065,Grade 7,Section B,300,274,26,0.9133,0.0867,20,0.88,0.9467,0.0667,Subject B,0.8667
ENHS_SYN_0066,Grade 7,Section B,300,274,26,0.9133,0.0867,20,0.9,0.9267,0.0267,Subject D,0.8667
ENHS_SYN_0067,Grade 7,Section B,299,246,53,0.8227,0.1773,35,0.8322,0.8133,-0.0189,Subject D,0.7667
ENHS_SYN_0068,Grade 7,Section B,299,258,41,0.8629,0.1371,28,0.8467,0.8792,0.0325,Subject A,0.8
ENHS_SYN_0069,Grade 7,Section B,297,221,76,0.7441,0.2559,44,0.7181,0.7703,0.0521,Subject E,0.6667
ENHS_SYN_0070,Grade 7,Section B,300,248,52,0.8267,0.1733,38,0.8067,0.8467,0.04,Subject E,0.7833
ENHS_SYN_0071,Grade 7,Section B,300,290,10,0.9667,0.0333,10,0.9667,0.9667,0.0,Subject A,0.95
ENHS_SYN_0072,Grade 7,Section B,299,287,12,0.9599,0.0401,11,0.9667,0.953,-0.0136,Subject D,0.8983
ENHS_SYN_0073,Grade 7,Section B,299,270,29,0.903,0.097,23,0.8993,0.9067,0.0073,Subject B,0.8667
ENHS_SYN_0074,Grade 7,Section B,300,236,64,0.7867,0.2133,40,0.76,0.8133,0.0533,Subject B,0.7333
ENHS_SYN_0075,Grade 7,Section B,300,284,16,0.9467,0.0533,15,0.9533,0.94,-0.0133,Subject E,0.8833
ENHS_SYN_0076,Grade 7,Section B,299,280,19,0.9365,0.0635,15,0.9195,0.9533,0.0339,Subject D,0.9167
ENHS_SYN_0077,Grade 7,Section B,300,256,44,0.8533,0.1467,31,0.8333,0.8733,0.04,Subject C,0.8
ENHS_SYN_0078,Grade 7,Section B,299,277,22,0.9264,0.0736,18,0.9333,0.9195,-0.0139,Subject B,0.8833
ENHS_SYN_0079,Grade 7,Section B,300,262,38,0.8733,0.1267,30,0.9067,0.84,-0.0667,Subject A,0.8333
ENHS_SYN_0080,Grade 7,Section B,299,268,31,0.8963,0.1037,25,0.9,0.8926,-0.0074,Subject E,0.8333
ENHS_SYN_0081,Grade 7,Section B,300,278,22,0.9267,0.0733,19,0.94,0.9133,-0.0267,Subject D,0.8833
ENHS_SYN_0082,Grade 7,Section B,299,258,41,0.8629,0.1371,32,0.8456,0.88,0.0344,Subject C,0.7833
ENHS_SYN_0083,Grade 7,Section B,300,288,12,0.96,0.04,12,0.9733,0.9467,-0.0267,Subject B,0.95
ENHS_SYN_0084,Grade 7,Section B,300,262,38,0.8733,0.1267,29,0.86,0.8867,0.0267,Subject D,0.8167
ENHS_SYN_0085,Grade 7,Section B,300,243,57,0.81,0.19,37,0.8067,0.8133,0.0067,Subject E,0.7167
ENHS_SYN_0086,Grade 7,Section B,298,269,29,0.9027,0.0973,25,0.8933,0.9122,0.0188,Subject E,0.8475
ENHS_SYN_0087,Grade 7,Section B,300,277,23,0.9233,0.0767,20,0.9333,0.9133,-0.02,Subject B,0.8667
ENHS_SYN_0088,Grade 7,Section B,299,287,12,0.9599,0.0401,11,0.9396,0.98,0.0404,Subject D,0.9
ENHS_SYN_0089,Grade 7,Section B,300,263,37,0.8767,0.1233,26,0.8333,0.92,0.0867,Subject C,0.8167
ENHS_SYN_0090,Grade 7,Section B,300,288,12,0.96,0.04,12,0.9733,0.9467,-0.0267,Subject A,0.95
ENHS_SYN_0091,Grade 7,Section B,300,271,29,0.9033,0.0967,23,0.9067,0.9,-0.0067,Subject C,0.8667
ENHS_SYN_0092,Grade 7,Section B,299,258,41,0.8629,0.1371,31,0.8523,0.8733,0.021,Subject E,0.7667
ENHS_SYN_0093,Grade 7,Section B,298,289,9,0.9698,0.0302,9,0.9664,0.9732,0.0067,Subject E,0.95
ENHS_SYN_0094,Grade 7,Section B,300,224,76,0.7467,0.2533,46,0.7467,0.7467,0.0,Subject C,0.7167
ENHS_SYN_0095,Grade 7,Section B,300,274,26,0.9133,0.0867,23,0.9,0.9267,0.0267,Subject C,0.8667
ENHS_SYN_0096,Grade 7,Section B,297,246,51,0.8283,0.1717,36,0.8503,0.8067,-0.0437,Subject D,0.7833
ENHS_SYN_0097,Grade 7,Section B,300,270,30,0.9,0.1,24,0.9133,0.8867,-0.0267,Subject C,0.8333
ENHS_SYN_0098,Grade 7,Section B,300,253,47,0.8433,0.1567,35,0.86,0.8267,-0.0333,Subject B,0.7833
ENHS_SYN_0099,Grade 7,Section B,299,256,43,0.8562,0.1438,33,0.84,0.8725,0.0325,Subject D,0.8
ENHS_SYN_0100,Grade 7,Section B,299,247,52,0.8261,0.1739,36,0.8456,0.8067,-0.039,Subject B,0.7458
ENHS_SYN_0101,Grade 7,Section C,300,226,74,0.7533,0.2467,44,0.7733,0.7333,-0.04,Subject E,0.7
ENHS_SYN_0102,Grade 7,Section C,300,249,51,0.83,0.17,38,0.82,0.84,0.02,Subject B,0.8
ENHS_SYN_0103,Grade 7,Section C,299,243,56,0.8127,0.1873,39,0.8067,0.8188,0.0121,Subject E,0.7667
ENHS_SYN_0104,Grade 7,Section C,298,267,31,0.896,0.104,26,0.9267,0.8649,-0.0618,Subject D,0.8333
ENHS_SYN_0105,Grade 7,Section C,298,248,50,0.8322,0.1678,35,0.8591,0.8054,-0.0537,Subject D,0.7966
ENHS_SYN_0106,Grade 7,Section C,299,270,29,0.903,0.097,23,0.88,0.9262,0.0462,Subject C,0.85
ENHS_SYN_0107,Grade 7,Section C,300,269,31,0.8967,0.1033,25,0.8867,0.9067,0.02,Subject E,0.85
ENHS_SYN_0108,Grade 7,Section C,300,264,36,0.88,0.12,32,0.8733,0.8867,0.0133,Subject B,0.8333
ENHS_SYN_0109,Grade 7,Section C,300,276,24,0.92,0.08,21,0.88,0.96,0.08,Subject E,0.8667
ENHS_SYN_0110,Grade 7,Section C,300,235,65,0.7833,0.2167,44,0.8,0.7667,-0.0333,Subject B,0.75
ENHS_SYN_0111,Grade 7,Section C,300,233,67,0.7767,0.2233,40,0.78,0.7733,-0.0067,Subject E,0.7167
ENHS_SYN_0112,Grade 7,Section C,300,285,15,0.95,0.05,13,0.9333,0.9667,0.0333,Subject D,0.9
ENHS_SYN_0113,Grade 7,Section C,300,274,26,0.9133,0.0867,23,0.9133,0.9133,0.0,Subject B,0.8833
ENHS_SYN_0114,Grade 7,Section C,298,290,8,0.9732,0.0268,8,0.9733,0.973,-0.0004,Subject D,0.9322
ENHS_SYN_0115,Grade 7,Section C,299,291,8,0.9732,0.0268,8,0.9733,0.9732,-0.0002,Subject A,0.95
ENHS_SYN_0116,Grade 7,Section C,300,273,27,0.91,0.09,22,0.9267,0.8933,-0.0333,Subject D,0.85
ENHS_SYN_0117,Grade 7,Section C,300,279,21,0.93,0.07,19,0.9333,0.9267,-0.0067,Subject C,0.8833
ENHS_SYN_0118,Grade 7,Section C,300,228,72,0.76,0.24,45,0.7133,0.8067,0.0933,Subject E,0.7333
ENHS_SYN_0119,Grade 7,Section C,300,275,25,0.9167,0.0833,23,0.92,0.9133,-0.0067,Subject A,0.9
ENHS_SYN_0120,Grade 7,Section C,299,269,30,0.8997,0.1003,25,0.906,0.8933,-0.0127,Subject C,0.8667
ENHS_SYN_0121,Grade 7,Section C,299,285,14,0.9532,0.0468,12,0.9467,0.9597,0.0131,Subject A,0.9167
ENHS_SYN_0122,Grade 7,Section C,298,275,23,0.9228,0.0772,21,0.9267,0.9189,-0.0077,Subject B,0.9153
ENHS_SYN_0123,Grade 7,Section C,298,251,47,0.8423,0.1577,38,0.8456,0.8389,-0.0067,Subject E,0.7667
ENHS_SYN_0124,Grade 7,Section C,299,293,6,0.9799,0.0201,6,0.9933,0.9664,-0.0269,Subject A,0.9667
ENHS_SYN_0125,Grade 7,Section C,299,291,8,0.9732,0.0268,8,0.9597,0.9867,0.0269,Subject D,0.9661
ENHS_SYN_0126,Grade 7,Section C,300,221,79,0.7367,0.2633,50,0.74,0.7333,-0.0067,Subject B,0.6833
ENHS_SYN_0127,Grade 7,Section C,299,214,85,0.7157,0.2843,50,0.7267,0.7047,-0.022,Subject B,0.65
ENHS_SYN_0128,Grade 7,Section C,300,232,68,0.7733,0.2267,43,0.7733,0.7733,0.0,Subject D,0.6833
ENHS_SYN_0129,Grade 7,Section C,300,260,40,0.8667,0.1333,29,0.84,0.8933,0.0533,Subject C,0.8333
ENHS_SYN_0130,Grade 7,Section C,300,275,25,0.9167,0.0833,20,0.9333,0.9,-0.0333,Subject C,0.8833
ENHS_SYN_0131,Grade 7,Section C,299,239,60,0.7993,0.2007,41,0.8054,0.7933,-0.012,Subject E,0.75
ENHS_SYN_0132,Grade 7,Section C,300,250,50,0.8333,0.1667,39,0.8333,0.8333,0.0,Subject E,0.7833
ENHS_SYN_0133,Grade 7,Section C,299,273,26,0.913,0.087,22,0.9262,0.9,-0.0262,Subject C,0.8814
ENHS_SYN_0134,Grade 7,Section C,299,270,29,0.903,0.097,24,0.9329,0.8733,-0.0596,Subject E,0.8814
ENHS_SYN_0135,Grade 7,Section C,300,260,40,0.8667,0.1333,33,0.8733,0.86,-0.0133,Subject B,0.8
ENHS_SYN_0136,Grade 7,Section C,300,273,27,0.91,0.09,25,0.92,0.9,-0.02,Subject E,0.8333
ENHS_SYN_0137,Grade 7,Section C,299,269,30,0.8997,0.1003,25,0.88,0.9195,0.0395,Subject D,0.8333
ENHS_SYN_0138,Grade 7,Section C,298,213,85,0.7148,0.2852,50,0.76,0.6689,-0.0911,Subject E,0.661
ENHS_SYN_0139,Grade 7,Section C,299,262,37,0.8763,0.1237,30,0.8456,0.9067,0.061,Subject A,0.8333
ENHS_SYN_0140,Grade 7,Section C,300,285,15,0.95,0.05,14,0.94,0.96,0.02,Subject A,0.9333
ENHS_SYN_0141,Grade 7,Section C,300,273,27,0.91,0.09,21,0.9067,0.9133,0.0067,Subject E,0.8333
ENHS_SYN_0142,Grade 7,Section C,299,243,56,0.8127,0.1873,38,0.7933,0.8322,0.0389,Subject A,0.7667
ENHS_SYN_0143,Grade 7,Section C,298,255,43,0.8557,0.1443,32,0.84,0.8716,0.0316,Subject B,0.7833
ENHS_SYN_0144,Grade 7,Section C,299,244,55,0.8161,0.1839,39,0.8333,0.7987,-0.0347,Subject A,0.7667
ENHS_SYN_0145,Grade 7,Section C,300,283,17,0.9433,0.0567,15,0.94,0.9467,0.0067,Subject D,0.85
ENHS_SYN_0146,Grade 7,Section C,298,287,11,0.9631,0.0369,10,0.9595,0.9667,0.0072,Subject E,0.9138
ENHS_SYN_0147,Grade 7,Section C,300,259,41,0.8633,0.1367,32,0.8533,0.8733,0.02,Subject A,0.8167
ENHS_SYN_0148,Grade 7,Section C,300,244,56,0.8133,0.1867,38,0.82,0.8067,-0.0133,Subject E,0.7667
ENHS_SYN_0149,Grade 7,Section C,298,271,27,0.9094,0.0906,26,0.94,0.8784,-0.0616,Subject C,0.8793
ENHS_SYN_0150,Grade 7,Section C,300,218,82,0.7267,0.2733,46,0.72,0.7333,0.0133,Subject E,0.6667
ENHS_SYN_0151,Grade 8,Section A,299,255,44,0.8528,0.1472,34,0.7919,0.9133,0.1214,Subject A,0.8167
ENHS_SYN_0152,Grade 8,Section A,300,243,57,0.81,0.19,40,0.8667,0.7533,-0.1133,Subject D,0.6667
ENHS_SYN_0153,Grade 8,Section A,300,272,28,0.9067,0.0933,23,0.92,0.8933,-0.0267,Subject B,0.8667
ENHS_SYN_0154,Grade 8,Section A,300,247,53,0.8233,0.1767,34,0.82,0.8267,0.0067,Subject C,0.7667
ENHS_SYN_0155,Grade 8,Section A,300,247,53,0.8233,0.1767,36,0.8133,0.8333,0.02,Subject B,0.7667
ENHS_SYN_0156,Grade 8,Section A,297,274,23,0.9226,0.0774,18,0.9392,0.906,-0.0331,Subject E,0.9
ENHS_SYN_0157,Grade 8,Section A,299,277,22,0.9264,0.0736,18,0.9128,0.94,0.0272,Subject A,0.8833
ENHS_SYN_0158,Grade 8,Section A,299,259,40,0.8662,0.1338,29,0.88,0.8523,-0.0277,Subject D,0.8136
ENHS_SYN_0159,Grade 8,Section A,300,272,28,0.9067,0.0933,24,0.9067,0.9067,0.0,Subject A,0.8833
ENHS_SYN_0160,Grade 8,Section A,300,249,51,0.83,0.17,36,0.8333,0.8267,-0.0067,Subject A,0.8167
ENHS_SYN_0161,Grade 8,Section A,299,285,14,0.9532,0.0468,13,0.9664,0.94,-0.0264,Subject E,0.9
ENHS_SYN_0162,Grade 8,Section A,300,210,90,0.7,0.3,49,0.7067,0.6933,-0.0133,Subject D,0.5833
ENHS_SYN_0163,Grade 8,Section A,300,274,26,0.9133,0.0867,20,0.9333,0.8933,-0.04,Subject E,0.85
ENHS_SYN_0164,Grade 8,Section A,300,284,16,0.9467,0.0533,15,0.9733,0.92,-0.0533,Subject D,0.9
ENHS_SYN_0165,Grade 8,Section A,300,238,62,0.7933,0.2067,38,0.8333,0.7533,-0.08,Subject B,0.7333
ENHS_SYN_0166,Grade 8,Section A,300,276,24,0.92,0.08,20,0.9333,0.9067,-0.0267,Subject E,0.8
ENHS_SYN_0167,Grade 8,Section A,299,276,23,0.9231,0.0769,21,0.9333,0.9128,-0.0206,Subject D,0.8833
ENHS_SYN_0168,Grade 8,Section A,298,223,75,0.7483,0.2517,46,0.7568,0.74,-0.0168,Subject B,0.6167
ENHS_SYN_0169,Grade 8,Section A,299,248,51,0.8294,0.1706,37,0.7987,0.86,0.0613,Subject D,0.8
ENHS_SYN_0170,Grade 8,Section A,298,281,17,0.943,0.057,16,0.9329,0.953,0.0201,Subject C,0.8814
ENHS_SYN_0171,Grade 8,Section A,300,265,35,0.8833,0.1167,30,0.8667,0.9,0.0333,Subject B,0.8333
ENHS_SYN_0172,Grade 8,Section A,300,231,69,0.77,0.23,47,0.74,0.8,0.06,Subject A,0.7333
ENHS_SYN_0173,Grade 8,Section A,300,227,73,0.7567,0.2433,42,0.7733,0.74,-0.0333,Subject C,0.7
ENHS_SYN_0174,Grade 8,Section A,300,263,37,0.8767,0.1233,28,0.9067,0.8467,-0.06,Subject C,0.8
ENHS_SYN_0175,Grade 8,Section A,300,241,59,0.8033,0.1967,37,0.76,0.8467,0.0867,Subject E,0.75
ENHS_SYN_0176,Grade 8,Section A,300,273,27,0.91,0.09,23,0.92,0.9,-0.02,Subject C,0.8833
ENHS_SYN_0177,Grade 8,Section A,300,254,46,0.8467,0.1533,37,0.8533,0.84,-0.0133,Subject E,0.8
ENHS_SYN_0178,Grade 8,Section A,300,261,39,0.87,0.13,33,0.8933,0.8467,-0.0467,Subject B,0.8333
ENHS_SYN_0179,Grade 8,Section A,299,258,41,0.8629,0.1371,30,0.92,0.8054,-0.1146,Subject D,0.7833
ENHS_SYN_0180,Grade 8,Section A,298,256,42,0.8591,0.1409,29,0.86,0.8581,-0.0019,Subject C,0.8167
ENHS_SYN_0181,Grade 8,Section A,299,289,10,0.9666,0.0334,10,0.9799,0.9533,-0.0265,Subject A,0.9492
ENHS_SYN_0182,Grade 8,Section A,300,230,70,0.7667,0.2333,46,0.7667,0.7667,0.0,Subject C,0.7
ENHS_SYN_0183,Grade 8,Section A,300,284,16,0.9467,0.0533,15,0.96,0.9333,-0.0267,Subject D,0.9167
ENHS_SYN_0184,Grade 8,Section A,300,218,82,0.7267,0.2733,46,0.76,0.6933,-0.0667,Subject A,0.6833
ENHS_SYN_0185,Grade 8,Section A,299,236,63,0.7893,0.2107,44,0.8067,0.7718,-0.0349,Subject C,0.7
ENHS_SYN_0186,Grade 8,Section A,300,248,52,0.8267,0.1733,39,0.8067,0.8467,0.04,Subject C,0.7833
ENHS_SYN_0187,Grade 8,Section A,300,282,18,0.94,0.06,17,0.9267,0.9533,0.0267,Subject A,0.9333
ENHS_SYN_0188,Grade 8,Section A,300,266,34,0.8867,0.1133,28,0.8933,0.88,-0.0133,Subject C,0.8
ENHS_SYN_0189,Grade 8,Section A,300,223,77,0.7433,0.2567,46,0.8133,0.6733,-0.14,Subject A,0.6667
ENHS_SYN_0190,Grade 8,Section A,300,233,67,0.7767,0.2233,44,0.78,0.7733,-0.0067,Subject E,0.75
ENHS_SYN_0191,Grade 8,Section A,299,289,10,0.9666,0.0334,9,0.953,0.98,0.027,Subject A,0.95
ENHS_SYN_0192,Grade 8,Section A,299,274,25,0.9164,0.0836,23,0.9133,0.9195,0.0061,Subject E,0.85
ENHS_SYN_0193,Grade 8,Section A,300,265,35,0.8833,0.1167,27,0.88,0.8867,0.0067,Subject E,0.8
ENHS_SYN_0194,Grade 8,Section A,300,275,25,0.9167,0.0833,20,0.9133,0.92,0.0067,Subject D,0.8
ENHS_SYN_0195,Grade 8,Section A,299,244,55,0.8161,0.1839,35,0.7852,0.8467,0.0614,Subject D,0.7966
ENHS_SYN_0196,Grade 8,Section A,300,268,32,0.8933,0.1067,27,0.88,0.9067,0.0267,Subject A,0.8667
ENHS_SYN_0197,Grade 8,Section A,300,277,23,0.9233,0.0767,18,0.92,0.9267,0.0067,Subject D,0.8833
ENHS_SYN_0198,Grade 8,Section A,300,247,53,0.8233,0.1767,38,0.8133,0.8333,0.02,Subject E,0.75
ENHS_SYN_0199,Grade 8,Section A,300,280,20,0.9333,0.0667,17,0.9267,0.94,0.0133,Subject E,0.8333
ENHS_SYN_0200,Grade 8,Section A,300,262,38,0.8733,0.1267,26,0.8667,0.88,0.0133,Subject E,0.8167
ENHS_SYN_0201,Grade 8,Section B,300,274,26,0.9133,0.0867,23,0.9333,0.8933,-0.04,Subject C,0.8667
ENHS_SYN_0202,Grade 8,Section B,298,282,16,0.9463,0.0537,13,0.9597,0.9329,-0.0268,Subject D,0.9167
ENHS_SYN_0203,Grade 8,Section B,300,290,10,0.9667,0.0333,9,0.9733,0.96,-0.0133,Subject E,0.9333
ENHS_SYN_0204,Grade 8,Section B,300,221,79,0.7367,0.2633,47,0.74,0.7333,-0.0067,Subject A,0.7
ENHS_SYN_0205,Grade 8,Section B,300,269,31,0.8967,0.1033,25,0.9133,0.88,-0.0333,Subject D,0.85
ENHS_SYN_0206,Grade 8,Section B,299,247,52,0.8261,0.1739,36,0.8054,0.8467,0.0413,Subject B,0.7667
ENHS_SYN_0207,Grade 8,Section B,298,250,48,0.8389,0.1611,32,0.8658,0.8121,-0.0537,Subject D,0.8167
ENHS_SYN_0208,Grade 8,Section B,300,210,90,0.7,0.3,49,0.7267,0.6733,-0.0533,Subject B,0.65
ENHS_SYN_0209,Grade 8,Section B,300,267,33,0.89,0.11,25,0.8933,0.8867,-0.0067,Subject D,0.8667
ENHS_SYN_0210,Grade 8,Section B,300,281,19,0.9367,0.0633,17,0.9267,0.9467,0.02,Subject A,0.9333
ENHS_SYN_0211,Grade 8,Section B,300,289,11,0.9633,0.0367,10,0.9467,0.98,0.0333,Subject C,0.9333
ENHS_SYN_0212,Grade 8,Section B,300,232,68,0.7733,0.2267,41,0.7867,0.76,-0.0267,Subject D,0.7167
ENHS_SYN_0213,Grade 8,Section B,299,254,45,0.8495,0.1505,34,0.8456,0.8533,0.0077,Subject D,0.8167
ENHS_SYN_0214,Grade 8,Section B,299,211,88,0.7057,0.2943,45,0.7067,0.7047,-0.002,Subject D,0.6333
