Student_ID,Subject,Subject_Total_Sessions,Subject_Present_Count,Subject_Absence_Count,Subject_Attendance_Rate
ENHS_SYN_0019,Subject C,60,43,17,0.7167
ENHS_SYN_0019,Subject D,58,50,8,0.8621
ENHS_SYN_0019,Subject E,60,46,14,0.7667
ENHS_SYN_0020,Subject A,60,57,3,0.95
ENHS_SYN_0020,Subject B,60,55,5,0.9167
ENHS_SYN_0020,Subject C,60,51,9,0.85
ENHS_SYN_0020,Subject D,59,55,4,0.9322
ENHS_SYN_0020,Subject E,60,54,6,0.9
ENHS_SYN_0021,Subject A,60,51,9,0.85
ENHS_SYN_0021,Subject B,60,54,6,0.9
ENHS_SYN_0021,Subject C,60,50,10,0.8333
ENHS_SYN_0021,Subject D,60,52,8,0.8667
ENHS_SYN_0021,Subject E,60,52,8,0.8667
ENHS_SYN_0022,Subject A,60,49,11,0.8167
ENHS_SYN_0022,Subject B,59,48,11,0.8136
ENHS_SYN_0022,Subject C,60,48,12,0.8
ENHS_SYN_0022,Subject D,60,47,13,0.7833
ENHS_SYN_0022,Subject E,60,49,11,0.8167
ENHS_SYN_0023,Subject A,60,47,13,0.7833
ENHS_SYN_0023,Subject B,60,50,10,0.8333
ENHS_SYN_0023,Subject C,60,47,13,0.7833
ENHS_SYN_0023,Subject D,60,47,13,0.7833
ENHS_SYN_0023,Subject E,60,52,8,0.8667
ENHS_SYN_0024,Subject A,60,56,4,0.9333
ENHS_SYN_0024,Subject B,60,55,5,0.9167
ENHS_SYN_0024,Subject C,60,49,11,0.8167
ENHS_SYN_0024,Subject D,60,53,7,0.8833
ENHS_SYN_0024,Subject E,60,53,7,0.8833
ENHS_SYN_0025,Subject A,60,51,9,0.85
ENHS_SYN_0025,Subject B,60,57,3,0.95
ENHS_SYN_0025,Subject C,60,53,7,0.8833
ENHS_SYN_0025,Subject D,60,52,8,0.8667
ENHS_SYN_0025,Subject E,59,51,8,0.8644
ENHS_SYN_0026,Subject A,60,49,11,0.8167
ENHS_SYN_0026,Subject B,60,46,14,0.7667
ENHS_SYN_0026,Subject C,60,42,18,0.7
ENHS_SYN_0026,Subject D,59,45,14,0.7627
ENHS_SYN_0026,Subject E,60,47,13,0.7833
ENHS_SYN_0027,Subject A,60,45,15,0.75
ENHS_SYN_0027,Subject B,60,53,7,0.8833
ENHS_SYN_0027,Subject C,60,46,14,0.7667
ENHS_SYN_0027,Subject D,60,48,12,0.8
ENHS_SYN_0027,Subject E,60,51,9,0.85
ENHS_SYN_0028,Subject A,60,46,14,0.7667
ENHS_SYN_0028,Subject B,59,52,7,0.8814
ENHS_SYN_0028,Subject C,60,51,9,0.85
ENHS_SYN_0028,Subject D,60,47,13,0.7833
ENHS_SYN_0028,Subject E,60,48,12,0.8
ENHS_SYN_0029,Subject A,60,51,9,0.85
ENHS_SYN_0029,Subject B,60,50,10,0.8333
ENHS_SYN_0029,Subject C,60,54,6,0.9
ENHS_SYN_0029,Subject D,60,55,5,0.9167
ENHS_SYN_0029,Subject E,60,49,11,0.8167
ENHS_SYN_0030,Subject A,60,59,1,0.9833
ENHS_SYN_0030,Subject B,60,56,4,0.9333
ENHS_SYN_0030,Subject C,60,59,1,0.9833
ENHS_SYN_0030,Subject D,60,58,2,0.9667
ENHS_SYN_0030,Subject E,60,57,3,0.95
ENHS_SYN_0031,Subject A,60,54,6,0.9
ENHS_SYN_0031,Subject B,60,53,7,0.8833
ENHS_SYN_0031,Subject C,60,52,8,0.8667
ENHS_SYN_0031,Subject D,60,56,4,0.9333
ENHS_SYN_0031,Subject E,60,53,7,0.8833
ENHS_SYN_0032,Subject A,60,54,6,0.9
ENHS_SYN_0032,Subject B,60,51,9,0.85
ENHS_SYN_0032,Subject C,60,51,9,0.85
ENHS_SYN_0032,Subject D,60,52,8,0.8667
ENHS_SYN_0032,Subject E,60,49,11,0.8167
ENHS_SYN_0033,Subject A,60,45,15,0.75
ENHS_SYN_0033,Subject B,60,44,16,0.7333
ENHS_SYN_0033,Subject C,60,46,14,0.7667
ENHS_SYN_0033,Subject D,60,47,13,0.7833
ENHS_SYN_0033,Subject E,60,50,10,0.8333
ENHS_SYN_0034,Subject A,60,53,7,0.8833
ENHS_SYN_0034,Subject B,60,52,8,0.8667
ENHS_SYN_0034,Subject C,60,50,10,0.8333
ENHS_SYN_0034,Subject D,60,55,5,0.9167
ENHS_SYN_0034,Subject E,60,52,8,0.8667
ENHS_SYN_0035,Subject A,59,48,11,0.8136
ENHS_SYN_0035,Subject B,60,51,9,0.85
ENHS_SYN_0035,Subject C,60,46,14,0.7667
ENHS_SYN_0035,Subject D,60,48,12,0.8
ENHS_SYN_0035,Subject E,60,50,10,0.8333
ENHS_SYN_0036,Subject A,60,56,4,0.9333
ENHS_SYN_0036,Subject B,60,57,3,0.95
ENHS_SYN_0036,Subject C,60,56,4,0.9333
ENHS_SYN_0036,Subject D,60,54,6,0.9
ENHS_SYN_0036,Subject E,59,51,8,0.8644
ENHS_SYN_0037,Subject A,60,60,0,1.0
ENHS_SYN_0037,Subject B,60,55,5,0.9167
ENHS_SYN_0037,Subject C,60,58,2,0.9667
ENHS_SYN_0037,Subject D,60,59,1,0.9833
ENHS_SYN_0037,Subject E,60,56,4,0.9333
ENHS_SYN_0038,Subject A,60,48,12,0.8
ENHS_SYN_0038,Subject B,60,48,12,0.8
ENHS_SYN_0038,Subject C,59,49,10,0.8305
ENHS_SYN_0038,Subject D,60,46,14,0.7667
ENHS_SYN_0038,Subject E,60,46,14,0.7667
ENHS_SYN_0039,Subject A,60,56,4,0.9333
ENHS_SYN_0039,Subject B,60,56,4,0.9333
ENHS_SYN_0039,Subject C,60,53,7,0.8833
ENHS_SYN_0039,Subject D,60,53,7,0.8833
ENHS_SYN_0039,Subject E,60,55,5,0.9167
ENHS_SYN_0040,Subject A,59,54,5,0.9153
ENHS_SYN_0040,Subject B,59,55,4,0.9322
ENHS_SYN_0040,Subject C,60,58,2,0.9667
ENHS_SYN_0040,Subject D,60,52,8,0.8667
ENHS_SYN_0040,Subject E,60,54,6,0.9
ENHS_SYN_0041,Subject A,60,51,9,0.85
ENHS_SYN_0041,Subject B,60,45,15,0.75
ENHS_SYN_0041,Subject C,60,45,15,0.75
ENHS_SYN_0041,Subject D,60,46,14,0.7667
ENHS_SYN_0041,Subject E,60,43,17,0.7167
ENHS_SYN_0042,Subject A,60,59,1,0.9833
ENHS_SYN_0042,Subject B,60,56,4,0.9333
ENHS_SYN_0042,Subject C,60,57,3,0.95
ENHS_SYN_0042,Subject D,60,57,3,0.95
ENHS_SYN_0042,Subject E,60,54,6,0.9
ENHS_SYN_0043,Subject A,60,49,11,0.8167
ENHS_SYN_0043,Subject B,60,51,9,0.85
ENHS_SYN_0043,Subject C,60,50,10,0.8333
ENHS_SYN_0043,Subject D,60,50,10,0.8333
ENHS_SYN_0043,Subject E,60,48,12,0.8
ENHS_SYN_0044,Subject A,60,47,13,0.7833
ENHS_SYN_0044,Subject B,60,47,13,0.7833
ENHS_SYN_0044,Subject C,60,51,9,0.85
ENHS_SYN_0044,Subject D,60,40,20,0.6667
ENHS_SYN_0044,Subject E,60,41,19,0.6833
ENHS_SYN_0045,Subject A,60,49,11,0.8167
ENHS_SYN_0045,Subject B,60,51,9,0.85
ENHS_SYN_0045,Subject C,60,55,5,0.9167
ENHS_SYN_0045,Subject D,60,45,15,0.75
ENHS_SYN_0045,Subject E,60,51,9,0.85
ENHS_SYN_0046,Subject A,60,55,5,0.9167
ENHS_SYN_0046,Subject B,60,55,5,0.9167
ENHS_SYN_0046,Subject C,60,57,3,0.95
ENHS_SYN_0046,Subject D,60,56,4,0.9333
ENHS_SYN_0046,Subject E,60,53,7,0.8833
ENHS_SYN_0047,Subject A,60,42,18,0.7
ENHS_SYN_0047,Subject B,60,43,17,0.7167
ENHS_SYN_0047,Subject C,60,48,12,0.8
ENHS_SYN_0047,Subject D,60,44,16,0.7333
ENHS_SYN_0047,Subject E,60,42,18,0.7
ENHS_SYN_0048,Subject A,60,48,12,0.8
ENHS_SYN_0048,Subject B,60,42,18,0.7
ENHS_SYN_0048,Subject C,60,46,14,0.7667
ENHS_SYN_0048,Subject D,60,47,13,0.7833
ENHS_SYN_0048,Subject E,60,41,19,0.6833
ENHS_SYN_0049,Subject A,60,50,10,0.8333
ENHS_SYN_0049,Subject B,60,48,12,0.8
ENHS_SYN_0049,Subject C,60,51,9,0.85
ENHS_SYN_0049,Subject D,60,51,9,0.85
ENHS_SYN_0049,Subject E,60,48,12,0.8
ENHS_SYN_0050,Subject A,60,43,17,0.7167
ENHS_SYN_0050,Subject B,60,45,15,0.75
ENHS_SYN_0050,Subject C,60,50,10,0.8333
ENHS_SYN_0050,Subject D,59,45,14,0.7627
ENHS_SYN_0050,Subject E,60,48,12,0.8
ENHS_SYN_0051,Subject A,60,54,6,0.9
ENHS_SYN_0051,Subject B,60,54,6,0.9
ENHS_SYN_0051,Subject C,60,48,12,0.8
ENHS_SYN_0051,Subject D,60,56,4,0.9333
ENHS_SYN_0051,Subject E,60,55,5,0.9167
ENHS_SYN_0052,Subject A,60,55,5,0.9167
ENHS_SYN_0052,Subject B,60,51,9,0.85
ENHS_SYN_0052,Subject C,60,60,0,1.0
ENHS_SYN_0052,Subject D,60,51,9,0.85
ENHS_SYN_0052,Subject E,60,57,3,0.95
ENHS_SYN_0053,Subject A,60,48,12,0.8
ENHS_SYN_0053,Subject B,60,51,9,0.85
ENHS_SYN_0053,Subject C,60,47,13,0.7833
ENHS_SYN_0053,Subject D,60,46,14,0.7667
ENHS_SYN_0053,Subject E,60,52,8,0.8667
ENHS_SYN_0054,Subject A,60,40,20,0.6667
ENHS_SYN_0054,Subject B,60,42,18,0.7
ENHS_SYN_0054,Subject C,60,51,9,0.85
ENHS_SYN_0054,Subject D,60,43,17,0.7167
ENHS_SYN_0054,Subject E,60,43,17,0.7167
ENHS_SYN_0055,Subject A,60,53,7,0.8833
ENHS_SYN_0055,Subject B,60,52,8,0.8667
ENHS_SYN_0055,Subject C,59,55,4,0.9322
ENHS_SYN_0055,Subject D,59,51,8,0.8644
ENHS_SYN_0055,Subject E,60,52,8,0.8667
ENHS_SYN_0056,Subject A,60,59,1,0.9833
ENHS_SYN_0056,Subject B,60,57,3,0.95
ENHS_SYN_0056,Subject C,60,58,2,0.9667
ENHS_SYN_0056,Subject D,60,59,1,0.9833
ENHS_SYN_0056,Subject E,60,57,3,0.95
ENHS_SYN_0057,Subject A,60,58,2,0.9667
ENHS_SYN_0057,Subject B,60,49,11,0.8167
ENHS_SYN_0057,Subject C,60,54,6,0.9
ENHS_SYN_0057,Subject D,60,48,12,0.8
ENHS_SYN_0057,Subject E,60,50,10,0.8333
ENHS_SYN_0058,Subject A,60,58,2,0.9667
ENHS_SYN_0058,Subject B,60,57,3,0.95
ENHS_SYN_0058,Subject C,60,59,1,0.9833
ENHS_SYN_0058,Subject D,60,55,5,0.9167
ENHS_SYN_0058,Subject E,60,53,7,0.8833
ENHS_SYN_0059,Subject A,60,59,1,0.9833
ENHS_SYN_0059,Subject B,60,59,1,0.9833
ENHS_SYN_0059,Subject C,60,58,2,0.9667
ENHS_SYN_0059,Subject D,60,56,4,0.9333
ENHS_SYN_0059,Subject E,60,55,5,0.9167
ENHS_SYN_0060,Subject A,60,51,9,0.85
ENHS_SYN_0060,Subject B,60,52,8,0.8667
ENHS_SYN_0060,Subject C,60,46,14,0.7667
ENHS_SYN_0060,Subject D,60,49,11,0.8167
ENHS_SYN_0060,Subject E,60,44,16,0.7333
ENHS_SYN_0061,Subject A,60,58,2,0.9667
ENHS_SYN_0061,Subject B,60,58,2,0.9667
ENHS_SYN_0061,Subject C,60,58,2,0.9667
ENHS_SYN_0061,Subject D,60,53,7,0.8833
ENHS_SYN_0061,Subject E,60,52,8,0.8667
ENHS_SYN_0062,Subject A,59,51,8,0.8644
ENHS_SYN_0062,Subject B,60,55,5,0.9167
ENHS_SYN_0062,Subject C,60,53,7,0.8833
ENHS_SYN_0062,Subject D,60,55,5,0.9167
ENHS_SYN_0062,Subject E,60,56,4,0.9333
ENHS_SYN_0063,Subject A,60,59,1,0.9833
ENHS_SYN_0063,Subject B,60,55,5,0.9167
ENHS_SYN_0063,Subject C,60,57,3,0.95
ENHS_SYN_0063,Subject D,60,55,5,0.9167
ENHS_SYN_0063,Subject E,60,59,1,0.9833
ENHS_SYN_0064,Subject A,60,53,7,0.8833
ENHS_SYN_0064,Subject B,60,52,8,0.8667
ENHS_SYN_0064,Subject C,60,52,8,0.8667
ENHS_SYN_0064,Subject D,60,58,2,0.9667
ENHS_SYN_0064,Subject E,60,49,11,0.8167
ENHS_SYN_0065,Subject A,60,56,4,0.9333
ENHS_SYN_0065,Subject B,60,52,8,0.8667
ENHS_SYN_0065,Subject C,60,55,5,0.9167
ENHS_SYN_0065,Subject D,60,59,1,0.9833
ENHS_SYN_0065,Subject E,60,52,8,0.8667
ENHS_SYN_0066,Subject A,60,57,3,0.95
ENHS_SYN_0066,Subject B,60,55,5,0.9167
ENHS_SYN_0066,Subject C,60,57,3,0.95
ENHS_SYN_0066,Subject D,60,52,8,0.8667
ENHS_SYN_0066,Subject E,60,53,7,0.8833
ENHS_SYN_0067,Subject A,60,56,4,0.9333
ENHS_SYN_0067,Subject B,60,47,13,0.7833
ENHS_SYN_0067,Subject C,59,46,13,0.7797
ENHS_SYN_0067,Subject D,60,46,14,0.7667
ENHS_SYN_0067,Subject E,60,51,9,0.85
ENHS_SYN_0068,Subject A,60,48,12,0.8
ENHS_SYN_0068,Subject B,59,55,4,0.9322
ENHS_SYN_0068,Subject C,60,54,6,0.9
ENHS_SYN_0068,Subject D,60,52,8,0.8667
ENHS_SYN_0068,Subject E,60,49,11,0.8167
ENHS_SYN_0069,Subject A,58,45,13,0.7759
ENHS_SYN_0069,Subject B,60,41,19,0.6833
ENHS_SYN_0069,Subject C,59,46,13,0.7797
ENHS_SYN_0069,Subject D,60,49,11,0.8167
ENHS_SYN_0069,Subject E,60,40,20,0.6667
ENHS_SYN_0070,Subject A,60,48,12,0.8
ENHS_SYN_0070,Subject B,60,51,9,0.85
ENHS_SYN_0070,Subject C,60,53,7,0.8833
ENHS_SYN_0070,Subject D,60,49,11,0.8167
ENHS_SYN_0070,Subject E,60,47,13,0.7833
ENHS_SYN_0071,Subject A,60,57,3,0.95
ENHS_SYN_0071,Subject B,60,58,2,0.9667
ENHS_SYN_0071,Subject C,60,58,2,0.9667
ENHS_SYN_0071,Subject D,60,60,0,1.0
ENHS_SYN_0071,Subject E,60,57,3,0.95
ENHS_SYN_0072,Subject A,60,57,3,0.95
ENHS_SYN_0072,Subject B,60,60,0,1.0
ENHS_SYN_0072,Subject C,60,59,1,0.9833
ENHS_SYN_0072,Subject D,59,53,6,0.8983
ENHS_SYN_0072,Subject E,60,58,2,0.9667
ENHS_SYN_0073,Subject A,60,53,7,0.8833
ENHS_SYN_0073,Subject B,60,52,8,0.8667
ENHS_SYN_0073,Subject C,60,57,3,0.95
ENHS_SYN_0073,Subject D,60,54,6,0.9
ENHS_SYN_0073,Subject E,59,54,5,0.9153
ENHS_SYN_0074,Subject A,60,49,11,0.8167
ENHS_SYN_0074,Subject B,60,44,16,0.7333
ENHS_SYN_0074,Subject C,60,53,7,0.8833
ENHS_SYN_0074,Subject D,60,45,15,0.75
ENHS_SYN_0074,Subject E,60,45,15,0.75
ENHS_SYN_0075,Subject A,60,57,3,0.95
ENHS_SYN_0075,Subject B,60,58,2,0.9667
ENHS_SYN_0075,Subject C,60,57,3,0.95
ENHS_SYN_0075,Subject D,60,59,1,0.9833
ENHS_SYN_0075,Subject E,60,53,7,0.8833
ENHS_SYN_0076,Subject A,59,55,4,0.9322
ENHS_SYN_0076,Subject B,60,57,3,0.95
ENHS_SYN_0076,Subject C,60,57,3,0.95
ENHS_SYN_0076,Subject D,60,55,5,0.9167
ENHS_SYN_0076,Subject E,60,56,4,0.9333
ENHS_SYN_0077,Subject A,60,52,8,0.8667
ENHS_SYN_0077,Subject B,60,51,9,0.85
ENHS_SYN_0077,Subject C,60,48,12,0.8
ENHS_SYN_0077,Subject D,60,51,9,0.85
ENHS_SYN_0077,Subject E,60,54,6,0.9
ENHS_SYN_0078,Subject A,60,58,2,0.9667
ENHS_SYN_0078,Subject B,60,53,7,0.8833
ENHS_SYN_0078,Subject C,60,53,7,0.8833
ENHS_SYN_0078,Subject D,59,55,4,0.9322
ENHS_SYN_0078,Subject E,60,58,2,0.9667
ENHS_SYN_0079,Subject A,60,50,10,0.8333
ENHS_SYN_0079,Subject B,60,50,10,0.8333
ENHS_SYN_0079,Subject C,60,54,6,0.9
ENHS_SYN_0079,Subject D,60,53,7,0.8833
ENHS_SYN_0079,Subject E,60,55,5,0.9167
ENHS_SYN_0080,Subject A,60,56,4,0.9333
ENHS_SYN_0080,Subject B,60,56,4,0.9333
ENHS_SYN_0080,Subject C,60,55,5,0.9167
ENHS_SYN_0080,Subject D,59,51,8,0.8644
ENHS_SYN_0080,Subject E,60,50,10,0.8333
ENHS_SYN_0081,Subject A,60,55,5,0.9167
ENHS_SYN_0081,Subject B,60,55,5,0.9167
ENHS_SYN_0081,Subject C,60,58,2,0.9667
ENHS_SYN_0081,Subject D,60,53,7,0.8833
ENHS_SYN_0081,Subject E,60,57,3,0.95
ENHS_SYN_0082,Subject A,60,56,4,0.9333
ENHS_SYN_0082,Subject B,60,54,6,0.9
ENHS_SYN_0082,Subject C,60,47,13,0.7833
ENHS_SYN_0082,Subject D,60,52,8,0.8667
ENHS_SYN_0082,Subject E,59,49,10,0.8305
ENHS_SYN_0083,Subject A,60,59,1,0.9833
ENHS_SYN_0083,Subject B,60,57,3,0.95
ENHS_SYN_0083,Subject C,60,57,3,0.95
ENHS_SYN_0083,Subject D,60,57,3,0.95
ENHS_SYN_0083,Subject E,60,58,2,0.9667
ENHS_SYN_0084,Subject A,60,51,9,0.85
ENHS_SYN_0084,Subject B,60,51,9,0.85
ENHS_SYN_0084,Subject C,60,55,5,0.9167
ENHS_SYN_0084,Subject D,60,49,11,0.8167
ENHS_SYN_0084,Subject E,60,56,4,0.9333
ENHS_SYN_0085,Subject A,60,51,9,0.85
ENHS_SYN_0085,Subject B,60,46,14,0.7667
ENHS_SYN_0085,Subject C,60,54,6,0.9
ENHS_SYN_0085,Subject D,60,49,11,0.8167
ENHS_SYN_0085,Subject E,60,43,17,0.7167
ENHS_SYN_0086,Subject A,60,54,6,0.9
ENHS_SYN_0086,Subject B,60,54,6,0.9
ENHS_SYN_0086,Subject C,60,54,6,0.9
ENHS_SYN_0086,Subject D,59,57,2,0.9661
ENHS_SYN_0086,Subject E,59,50,9,0.8475
ENHS_SYN_0087,Subject A,60,59,1,0.9833
ENHS_SYN_0087,Subject B,60,52,8,0.8667
ENHS_SYN_0087,Subject C,60,53,7,0.8833
ENHS_SYN_0087,Subject D,60,56,4,0.9333
ENHS_SYN_0087,Subject E,60,57,3,0.95
ENHS_SYN_0088,Subject A,60,58,2,0.9667
ENHS_SYN_0088,Subject B,60,58,2,0.9667
ENHS_SYN_0088,Subject C,60,59,1,0.9833
ENHS_SYN_0088,Subject D,60,54,6,0.9
ENHS_SYN_0088,Subject E,59,58,1,0.9831
ENHS_SYN_0089,Subject A,60,57,3,0.95
ENHS_SYN_0089,Subject B,60,53,7,0.8833
ENHS_SYN_0089,Subject C,60,49,11,0.8167
ENHS_SYN_0089,Subject D,60,54,6,0.9
ENHS_SYN_0089,Subject E,60,50,10,0.8333
ENHS_SYN_0090,Subject A,60,57,3,0.95
ENHS_SYN_0090,Subject B,60,58,2,0.9667
ENHS_SYN_0090,Subject C,60,57,3,0.95
ENHS_SYN_0090,Subject D,60,58,2,0.9667
ENHS_SYN_0090,Subject E,60,58,2,0.9667
ENHS_SYN_0091,Subject A,60,55,5,0.9167
ENHS_SYN_0091,Subject B,60,59,1,0.9833
ENHS_SYN_0091,Subject C,60,52,8,0.8667
ENHS_SYN_0091,Subject D,60,52,8,0.8667
ENHS_SYN_0091,Subject E,60,53,7,0.8833
ENHS_SYN_0092,Subject A,60,54,6,0.9
ENHS_SYN_0092,Subject B,60,49,11,0.8167
ENHS_SYN_0092,Subject C,59,54,5,0.9153
ENHS_SYN_0092,Subject D,60,55,5,0.9167
ENHS_SYN_0092,Subject E,60,46,14,0.7667
ENHS_SYN_0093,Subject A,60,59,1,0.9833
ENHS_SYN_0093,Subject B,59,58,1,0.9831
ENHS_SYN_0093,Subject C,59,57,2,0.9661
ENHS_SYN_0093,Subject D,60,58,2,0.9667
ENHS_SYN_0093,Subject E,60,57,3,0.95
ENHS_SYN_0094,Subject A,60,45,15,0.75
ENHS_SYN_0094,Subject B,60,47,13,0.7833
ENHS_SYN_0094,Subject C,60,43,17,0.7167
ENHS_SYN_0094,Subject D,60,45,15,0.75
ENHS_SYN_0094,Subject E,60,44,16,0.7333
ENHS_SYN_0095,Subject A,60,55,5,0.9167
ENHS_SYN_0095,Subject B,60,55,5,0.9167
ENHS_SYN_0095,Subject C,60,52,8,0.8667
ENHS_SYN_0095,Subject D,60,55,5,0.9167
ENHS_SYN_0095,Subject E,60,57,3,0.95
ENHS_SYN_0096,Subject A,59,48,11,0.8136
ENHS_SYN_0096,Subject B,59,47,12,0.7966
ENHS_SYN_0096,Subject C,60,53,7,0.8833
ENHS_SYN_0096,Subject D,60,47,13,0.7833
ENHS_SYN_0096,Subject E,59,51,8,0.8644
ENHS_SYN_0097,Subject A,60,57,3,0.95
ENHS_SYN_0097,Subject B,60,56,4,0.9333
ENHS_SYN_0097,Subject C,60,50,10,0.8333
ENHS_SYN_0097,Subject D,60,54,6,0.9
ENHS_SYN_0097,Subject E,60,53,7,0.8833
ENHS_SYN_0098,Subject A,60,52,8,0.8667
ENHS_SYN_0098,Subject B,60,47,13,0.7833
ENHS_SYN_0098,Subject C,60,54,6,0.9
ENHS_SYN_0098,Subject D,60,51,9,0.85
ENHS_SYN_0098,Subject E,60,49,11,0.8167
ENHS_SYN_0099,Subject A,60,53,7,0.8833
ENHS_SYN_0099,Subject B,60,53,7,0.8833
ENHS_SYN_0099,Subject C,59,50,9,0.8475
ENHS_SYN_0099,Subject D,60,48,12,0.8
ENHS_SYN_0099,Subject E,60,52,8,0.8667
ENHS_SYN_0100,Subject A,60,45,15,0.75
ENHS_SYN_0100,Subject B,59,44,15,0.7458
ENHS_SYN_0100,Subject C,60,55,5,0.9167
ENHS_SYN_0100,Subject D,60,52,8,0.8667
ENHS_SYN_0100,Subject E,60,51,9,0.85
ENHS_SYN_0101,Subject A,60,46,14,0.7667
